stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.700,"[-1.225, -0.176]",0.524,-2.226,0.029
norefined,c,-6.473,"[-11.573, -1.373]",5.100,-2.117,0.038
norefined,s,-3.505,"[-6.026, -0.985]",2.520,-2.320,0.023
norefined,k0,-1.004,"[-2.125, 0.116]",1.120,-1.495,0.140
norefined,k1,-0.783,"[-2.094, 0.529]",1.311,-0.995,0.323
norefined,k2,1.312,"[-0.213, 2.838]",1.526,1.435,0.156
norefined,k3,-0.589,"[-1.822, 0.644]",1.233,-0.797,0.428
norefined,k4,0.768,"[-0.333, 1.869]",1.101,1.164,0.249
norefined,k5,-0.656,"[-2.024, 0.713]",1.368,-0.799,0.427
refined,tt,-1.355,"[-2.308, -0.401]",0.954,-2.369,0.021
refined,c,-9.687,"[-16.449, -2.926]",6.762,-2.390,0.020
refined,s,-4.807,"[-8.261, -1.353]",3.454,-2.322,0.023
refined,k0,-0.403,"[-1.436, 0.63]",1.033,-0.651,0.517
refined,k1,-0.628,"[-1.996, 0.74]",1.368,-0.766,0.447
refined,k2,1.498,"[-0.233, 3.229]",1.731,1.443,0.154
refined,k3,-0.026,"[-1.498, 1.446]",1.472,-0.029,0.977
refined,k4,-0.543,"[-1.915, 0.829]",1.372,-0.660,0.512
refined,k5,-0.434,"[-1.939, 1.071]",1.505,-0.481,0.632
