stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,22.812,2.347,0.000,0,9,1142658479.336,53069898.348,19
refined,108.175,2.347,0.000,0,9,1142658479.336,11617397.633,19
