stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,20.772,1.727,0.000,0,9,3722434341.703,982105915.595,76
refined,23.704,1.727,0.000,0,9,3722434341.703,889661552.994,76
