stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,16.246,2.347,0.000,19,0,9,483729491.311,30965494.082
refined,30.247,2.347,0.000,19,0,9,483729491.311,17139924.621
