stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.212,"[-1.964, -0.46]",0.752,-3.219,0.002
norefined,c,-7.655,"[-12.447, -2.863]",4.792,-3.189,0.002
norefined,s,-4.036,"[-6.423, -1.649]",2.387,-3.375,0.001
norefined,k0,-0.542,"[-1.526, 0.442]",0.984,-1.100,0.275
norefined,k1,-0.707,"[-2.004, 0.589]",1.296,-1.089,0.280
norefined,k2,0.073,"[-1.101, 1.248]",1.174,0.124,0.901
norefined,k3,0.690,"[-0.444, 1.825]",1.135,1.214,0.229
norefined,k4,-0.407,"[-1.374, 0.561]",0.968,-0.839,0.405
norefined,k5,-0.099,"[-1.308, 1.11]",1.209,-0.164,0.871
refined,tt,-1.546,"[-2.442, -0.651]",0.895,-3.447,0.001
refined,c,-7.741,"[-12.155, -3.326]",4.414,-3.500,0.001
refined,s,-3.766,"[-5.746, -1.787]",1.979,-3.798,0.000
refined,k0,-0.318,"[-1.157, 0.521]",0.839,-0.756,0.452
refined,k1,0.443,"[-1.071, 1.957]",1.514,0.584,0.561
refined,k2,0.028,"[-0.789, 0.846]",0.818,0.070,0.945
refined,k3,-0.594,"[-1.627, 0.44]",1.033,-1.147,0.255
refined,k4,-0.691,"[-1.597, 0.215]",0.906,-1.522,0.133
refined,k5,-0.570,"[-1.682, 0.543]",1.112,-1.022,0.310
