stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,18.053,2.023,0.000,0,9,2572226408.467,751013772.330,76
refined,18.053,2.023,0.000,0,9,2572226408.467,751013772.330,76
