stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.111,"[-1.732, -0.491]",0.620,-3.574,0.001
norefined,c,-7.206,"[-11.175, -3.238]",3.968,-3.625,0.001
norefined,s,-3.350,"[-5.243, -1.458]",1.892,-3.534,0.001
norefined,k0,-0.010,"[-1.103, 1.082]",1.093,-0.019,0.985
norefined,k1,0.041,"[-0.433, 0.515]",0.474,0.171,0.865
norefined,k2,0.017,"[-0.97, 1.003]",0.986,0.034,0.973
norefined,k3,-0.304,"[-1.122, 0.515]",0.819,-0.741,0.461
norefined,k4,-0.170,"[-1.288, 0.947]",1.117,-0.304,0.762
norefined,k5,0.421,"[-0.536, 1.378]",0.957,0.879,0.383
refined,tt,-1.014,"[-1.46, -0.567]",0.447,-4.531,0.000
refined,c,-5.958,"[-8.574, -3.343]",2.615,-4.547,0.000
refined,s,-2.763,"[-3.959, -1.568]",1.195,-4.615,0.000
refined,k0,-0.337,"[-1.095, 0.421]",0.758,-0.887,0.378
refined,k1,0.009,"[-0.387, 0.404]",0.396,0.044,0.965
refined,k2,-0.381,"[-1.173, 0.411]",0.792,-0.961,0.340
refined,k3,0.524,"[-0.131, 1.18]",0.655,1.597,0.115
refined,k4,0.213,"[-0.646, 1.073]",0.859,0.496,0.622
refined,k5,-0.435,"[-1.221, 0.35]",0.786,-1.106,0.273
