stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.190,"[-1.936, -0.443]",0.746,-3.181,0.002
norefined,c,-7.410,"[-12.219, -2.6]",4.810,-3.075,0.003
norefined,s,-3.972,"[-6.528, -1.415]",2.557,-3.101,0.003
norefined,k0,-1.890,"[-3.507, -0.273]",1.617,-2.333,0.023
norefined,k1,-0.401,"[-1.509, 0.707]",1.108,-0.722,0.473
norefined,k2,-0.306,"[-1.25, 0.638]",0.944,-0.647,0.520
norefined,k3,-0.388,"[-1.649, 0.874]",1.261,-0.614,0.542
norefined,k4,-1.078,"[-2.517, 0.362]",1.440,-1.494,0.140
norefined,k5,0.667,"[-0.083, 1.416]",0.750,1.774,0.081
refined,tt,-0.792,"[-1.058, -0.527]",0.265,-5.962,0.000
refined,c,-5.499,"[-7.439, -3.559]",1.940,-5.659,0.000
refined,s,-2.121,"[-2.883, -1.359]",0.762,-5.558,0.000
refined,k0,-0.904,"[-1.566, -0.241]",0.663,-2.722,0.008
refined,k1,-0.222,"[-0.907, 0.462]",0.684,-0.649,0.519
refined,k2,-0.196,"[-0.746, 0.354]",0.550,-0.712,0.479
refined,k3,-0.473,"[-1.191, 0.245]",0.718,-1.315,0.193
refined,k4,-0.211,"[-0.822, 0.401]",0.612,-0.687,0.494
refined,k5,-0.152,"[-0.519, 0.216]",0.368,-0.822,0.414
