stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.982,"[-2.349, 0.386]",1.368,-1.433,0.157
norefined,c,-6.126,"[-15.635, 3.383]",9.509,-1.286,0.203
norefined,s,-3.894,"[-9.091, 1.303]",5.197,-1.495,0.139
norefined,k0,-1.397,"[-3.959, 1.165]",2.562,-1.088,0.280
norefined,k1,-1.398,"[-5.437, 2.641]",4.039,-0.691,0.492
norefined,k2,-0.521,"[-2.79, 1.749]",2.269,-0.458,0.649
norefined,k3,0.300,"[-2.455, 3.055]",2.755,0.217,0.829
norefined,k4,-0.790,"[-4.483, 2.903]",3.693,-0.427,0.671
norefined,k5,1.949,"[-1.758, 5.655]",3.706,1.049,0.298
refined,tt,-0.166,"[-0.217, -0.115]",0.051,-6.495,0.000
refined,c,-0.956,"[-1.381, -0.532]",0.424,-4.498,0.000
refined,s,-0.621,"[-0.843, -0.399]",0.222,-5.586,0.000
refined,k0,-0.205,"[-0.593, 0.183]",0.388,-1.053,0.296
refined,k1,-0.043,"[-0.366, 0.28]",0.323,-0.264,0.793
refined,k2,0.119,"[-0.168, 0.406]",0.287,0.826,0.412
refined,k3,0.261,"[-0.138, 0.66]",0.399,1.305,0.196
refined,k4,0.239,"[-0.075, 0.552]",0.313,1.521,0.133
refined,k5,0.444,"[0.078, 0.811]",0.366,2.420,0.018
