stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.116,-6.632,-4.761,-1.639,1.821,0.334,-1.274,1.234,-0.900,435739822.516,1584,0,0,0.168
norefined,2,-1.599,-6.621,-4.703,-1.642,1.758,0.345,-1.189,1.198,-0.921,348438993.605,1584,0,0,0.242
norefined,3,-1.208,-6.808,-4.637,-1.534,1.659,0.459,-1.062,1.116,-0.914,358825362.515,1584,0,0,0.177
norefined,4,-1.685,-6.794,-4.571,-1.535,1.594,0.464,-0.955,1.069,-0.925,326299321.312,1584,0,0,0.248
norefined,5,-1.221,-6.929,-4.560,-1.449,1.546,0.520,-0.922,1.014,-0.927,330069088.864,1584,0,0,0.176
norefined,6,-1.699,-6.910,-4.490,-1.450,1.487,0.521,-0.815,0.973,-0.929,308394489.449,1584,0,0,0.246
norefined,7,-1.227,-7.035,-4.487,-1.374,1.447,0.560,-0.802,0.923,-0.934,308088189.804,1584,0,0,0.174
norefined,8,-1.706,-7.013,-4.414,-1.375,1.393,0.559,-0.699,0.887,-0.928,293499693.767,1584,0,0,0.243
norefined,9,-1.229,-7.130,-4.416,-1.307,1.358,0.585,-0.698,0.840,-0.935,290245750.078,1584,0,0,0.172
norefined,10,-1.709,-7.106,-4.341,-1.309,1.308,0.582,-0.598,0.809,-0.924,280966308.516,1584,0,0,0.240
refined,11,-1.709,-7.106,-4.341,-1.309,1.308,0.582,-0.598,0.809,-0.924,280966308.516,1584,0,0,0.240
refined,12,-0.973,-6.139,-2.485,-0.210,0.122,0.153,0.063,-0.027,-0.568,194687736.138,1584,0,0,0.159
refined,13,-1.240,-7.052,-3.085,-0.054,0.203,-0.114,-0.311,-0.509,-0.024,151303985.074,1584,0,0,0.176
refined,14,-1.405,-7.954,-3.499,0.047,0.207,-0.210,-0.445,-0.889,0.172,149162859.793,1584,0,0,0.177
refined,15,-1.478,-8.398,-3.701,0.076,0.217,-0.242,-0.463,-1.074,0.254,148826896.681,1584,0,0,0.176
refined,16,-1.530,-8.710,-3.837,0.085,0.225,-0.255,-0.461,-1.160,0.277,148753364.702,1584,0,0,0.176
refined,17,-1.547,-8.815,-3.884,0.084,0.225,-0.261,-0.459,-1.214,0.299,148733858.816,1584,0,0,0.175
refined,18,-1.564,-8.918,-3.929,0.085,0.227,-0.264,-0.456,-1.238,0.303,148728228.708,1584,0,0,0.175
refined,19,-1.567,-8.939,-3.938,0.084,0.226,-0.266,-0.455,-1.256,0.311,148726506.034,1584,0,0,0.175
refined,20,-1.574,-8.979,-3.955,0.084,0.227,-0.267,-0.454,-1.262,0.311,148725963.145,1584,0,0,0.175
