stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.355,"[-2.218, -0.491]",0.863,-2.666,0.012
norefined,c,-5.334,"[-8.982, -1.686]",3.648,-2.485,0.019
norefined,s,-3.326,"[-5.545, -1.107]",2.219,-2.547,0.016
norefined,k0,0.982,"[-0.318, 2.283]",1.300,1.284,0.209
norefined,k1,0.805,"[-0.335, 1.945]",1.140,1.200,0.240
norefined,k2,-1.134,"[-2.419, 0.15]",1.285,-1.500,0.144
norefined,k3,-0.216,"[-1.613, 1.181]",1.397,-0.263,0.795
norefined,k4,-1.079,"[-2.545, 0.387]",1.466,-1.251,0.221
norefined,k5,0.014,"[-1.282, 1.31]",1.296,0.018,0.985
refined,tt,-1.187,"[-1.743, -0.632]",0.556,-3.630,0.001
refined,c,-6.429,"[-9.639, -3.219]",3.210,-3.403,0.002
refined,s,-3.923,"[-5.943, -1.902]",2.020,-3.299,0.003
refined,k0,0.358,"[-0.45, 1.166]",0.808,0.753,0.458
refined,k1,-0.358,"[-1.069, 0.352]",0.710,-0.857,0.398
refined,k2,-0.837,"[-1.588, -0.086]",0.751,-1.894,0.068
refined,k3,-0.475,"[-1.448, 0.498]",0.973,-0.830,0.413
refined,k4,0.226,"[-0.577, 1.028]",0.802,0.478,0.636
refined,k5,-0.165,"[-0.857, 0.527]",0.692,-0.406,0.688
