stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.796,"[-1.307, -0.285]",0.511,-3.109,0.003
norefined,c,-5.812,"[-9.469, -2.155]",3.657,-3.172,0.002
norefined,s,-3.434,"[-5.472, -1.395]",2.039,-3.362,0.001
norefined,k0,-0.904,"[-1.832, 0.025]",0.928,-1.943,0.056
norefined,k1,-0.538,"[-1.603, 0.526]",1.064,-1.010,0.316
norefined,k2,-0.820,"[-1.593, -0.048]",0.773,-2.119,0.038
norefined,k3,-0.480,"[-1.204, 0.245]",0.725,-1.320,0.191
norefined,k4,0.492,"[-0.252, 1.236]",0.744,1.320,0.191
norefined,k5,-0.600,"[-1.384, 0.184]",0.784,-1.528,0.131
refined,tt,-1.092,"[-1.571, -0.612]",0.479,-4.546,0.000
refined,c,-6.465,"[-9.417, -3.514]",2.951,-4.373,0.000
refined,s,-3.525,"[-5.015, -2.035]",1.490,-4.722,0.000
refined,k0,0.026,"[-0.438, 0.49]",0.464,0.112,0.911
refined,k1,-0.455,"[-1.139, 0.229]",0.684,-1.328,0.189
refined,k2,0.185,"[-0.209, 0.58]",0.394,0.939,0.351
refined,k3,0.024,"[-0.398, 0.445]",0.421,0.113,0.911
refined,k4,0.298,"[-0.135, 0.731]",0.433,1.373,0.174
refined,k5,-0.209,"[-0.665, 0.246]",0.456,-0.917,0.362
