stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.749,"[-1.302, -0.197]",0.552,-2.708,0.009
norefined,c,-5.159,"[-8.907, -1.412]",3.748,-2.748,0.008
norefined,s,-4.024,"[-6.967, -1.081]",2.943,-2.729,0.008
norefined,k0,-0.206,"[-1.42, 1.007]",1.213,-0.340,0.735
norefined,k1,-0.137,"[-1.092, 0.818]",0.955,-0.286,0.775
norefined,k2,-0.582,"[-1.193, 0.029]",0.611,-1.901,0.062
norefined,k3,-0.461,"[-1.804, 0.881]",1.342,-0.686,0.495
norefined,k4,0.556,"[-0.256, 1.368]",0.812,1.366,0.176
norefined,k5,0.183,"[-0.685, 1.05]",0.867,0.420,0.676
refined,tt,-1.322,"[-1.929, -0.715]",0.607,-4.350,0.000
refined,c,-7.730,"[-11.548, -3.912]",3.818,-4.041,0.000
refined,s,-4.349,"[-6.595, -2.103]",2.246,-3.865,0.000
refined,k0,-0.103,"[-1.285, 1.078]",1.181,-0.175,0.862
refined,k1,0.105,"[-0.655, 0.866]",0.760,0.276,0.783
refined,k2,-0.029,"[-0.487, 0.429]",0.458,-0.128,0.899
refined,k3,0.415,"[-0.559, 1.389]",0.974,0.850,0.398
refined,k4,-0.085,"[-0.582, 0.413]",0.498,-0.340,0.735
refined,k5,0.003,"[-0.887, 0.893]",0.890,0.006,0.995
