stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.766,"[-1.24, -0.292]",0.474,-3.224,0.002
norefined,c,-5.319,"[-8.729, -1.909]",3.410,-3.114,0.003
norefined,s,-3.715,"[-6.175, -1.255]",2.460,-3.014,0.004
norefined,k0,-0.183,"[-1.431, 1.066]",1.249,-0.292,0.771
norefined,k1,-0.221,"[-1.135, 0.694]",0.915,-0.482,0.631
norefined,k2,-0.415,"[-1.014, 0.183]",0.599,-1.385,0.171
norefined,k3,-0.584,"[-1.981, 0.814]",1.398,-0.833,0.408
norefined,k4,0.569,"[-0.202, 1.341]",0.771,1.473,0.145
norefined,k5,0.143,"[-0.722, 1.008]",0.865,0.330,0.742
refined,tt,-0.680,"[-0.872, -0.487]",0.193,-7.037,0.000
refined,c,-4.251,"[-5.457, -3.044]",1.206,-7.033,0.000
refined,s,-1.770,"[-2.355, -1.184]",0.585,-6.035,0.000
refined,k0,0.126,"[-0.407, 0.658]",0.532,0.471,0.639
refined,k1,0.050,"[-0.295, 0.395]",0.345,0.291,0.772
refined,k2,0.306,"[0.03, 0.582]",0.276,2.215,0.030
refined,k3,-0.029,"[-0.399, 0.341]",0.370,-0.159,0.874
refined,k4,0.049,"[-0.232, 0.331]",0.281,0.350,0.727
refined,k5,-0.152,"[-0.506, 0.203]",0.355,-0.853,0.396
