stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.553, -1.447]",0.553,-7.815,0.000
refined,tt,-0.978,"[-0.988, -0.968]",0.010,-205.917,0.000
