stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,-6.594,4.667,1.000,0,1,63808.077,129480.019,14
refined,25.047,4.667,0.000,0,1,63808.077,21802.162,14
