stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-3.808, -0.192]",1.808,-3.520,0.039
refined,tt,-0.999,"[-1.0, -0.998]",0.001,-3096.146,0.000
