stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,491.385,4.667,0.000,0,1,1645345.345,42407.054,14
refined,491.385,4.667,0.000,0,1,1645345.345,42407.054,14
