stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.991,"[-1.615, -0.368]",0.624,-3.172,0.002
norefined,c,-6.841,"[-10.972, -2.71]",4.131,-3.305,0.002
norefined,s,-3.207,"[-5.117, -1.298]",1.910,-3.353,0.001
norefined,k0,0.271,"[-0.703, 1.245]",0.974,0.555,0.580
norefined,k1,-1.220,"[-2.374, -0.065]",1.154,-2.109,0.039
norefined,k2,-0.144,"[-1.465, 1.178]",1.322,-0.217,0.829
norefined,k3,0.143,"[-0.941, 1.227]",1.084,0.263,0.793
norefined,k4,-0.077,"[-0.995, 0.841]",0.918,-0.168,0.867
norefined,k5,-0.870,"[-1.769, 0.03]",0.900,-1.929,0.058
refined,tt,-0.814,"[-1.08, -0.548]",0.266,-6.109,0.000
refined,c,-5.058,"[-6.576, -3.54]",1.518,-6.651,0.000
refined,s,-2.630,"[-3.414, -1.847]",0.783,-6.701,0.000
refined,k0,0.586,"[0.145, 1.028]",0.442,2.650,0.010
refined,k1,-0.562,"[-1.083, -0.042]",0.520,-2.158,0.035
refined,k2,-0.205,"[-0.785, 0.375]",0.580,-0.706,0.483
refined,k3,0.410,"[-0.072, 0.891]",0.482,1.699,0.094
refined,k4,-0.521,"[-0.969, -0.073]",0.448,-2.322,0.023
refined,k5,0.322,"[-0.136, 0.781]",0.458,1.404,0.165
