stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,87.963,2.023,0.000,76,0,9,2988512122.109,233186450.402
refined,207.759,2.023,0.000,76,0,9,2988512122.109,103380503.513
