stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.729,"[-1.146, -0.311]",0.417,-3.485,0.001
norefined,c,-6.968,"[-10.433, -3.503]",3.465,-4.014,0.000
norefined,s,-3.164,"[-4.778, -1.549]",1.615,-3.911,0.000
norefined,k0,0.153,"[-0.731, 1.038]",0.884,0.346,0.730
norefined,k1,-0.963,"[-2.0, 0.073]",1.036,-1.856,0.068
norefined,k2,-0.173,"[-1.32, 0.974]",1.147,-0.302,0.764
norefined,k3,0.047,"[-0.786, 0.879]",0.833,0.111,0.912
norefined,k4,0.032,"[-0.714, 0.779]",0.746,0.087,0.931
norefined,k5,-0.742,"[-1.526, 0.043]",0.785,-1.887,0.064
refined,tt,-1.227,"[-1.619, -0.835]",0.392,-6.246,0.000
refined,c,-6.977,"[-9.055, -4.899]",2.078,-6.703,0.000
refined,s,-3.375,"[-4.359, -2.392]",0.984,-6.850,0.000
refined,k0,-0.355,"[-0.927, 0.217]",0.572,-1.238,0.220
refined,k1,0.729,"[0.022, 1.435]",0.707,2.057,0.044
refined,k2,0.026,"[-0.551, 0.603]",0.577,0.090,0.928
refined,k3,-0.479,"[-1.067, 0.109]",0.588,-1.625,0.109
refined,k4,0.279,"[-0.234, 0.791]",0.512,1.086,0.281
refined,k5,-0.068,"[-0.551, 0.415]",0.483,-0.281,0.780
