stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.608,"[-5.433, 2.216]",3.825,-0.762,0.464
norefined,c,-5.782,"[-19.002, 7.438]",13.220,-0.793,0.446
norefined,s,-3.139,"[-10.488, 4.21]",7.349,-0.774,0.457
norefined,k0,0.194,"[-3.736, 4.124]",3.930,0.089,0.931
norefined,k1,-0.566,"[-3.307, 2.175]",2.741,-0.374,0.716
norefined,k2,-1.028,"[-3.105, 1.048]",2.076,-0.898,0.390
norefined,k3,-1.054,"[-6.123, 4.016]",5.070,-0.377,0.714
norefined,k4,0.416,"[-1.246, 2.077]",1.661,0.453,0.660
norefined,k5,-0.605,"[-5.624, 4.415]",5.020,-0.218,0.832
refined,tt,-0.947,"[-1.479, -0.415]",0.532,-3.227,0.009
refined,c,-5.083,"[-7.556, -2.609]",2.474,-3.724,0.004
refined,s,-2.686,"[-3.997, -1.375]",1.311,-3.714,0.004
refined,k0,-0.386,"[-1.005, 0.233]",0.619,-1.131,0.285
refined,k1,0.021,"[-0.57, 0.611]",0.591,0.063,0.951
refined,k2,0.501,"[-0.121, 1.122]",0.621,1.461,0.175
refined,k3,0.197,"[-0.566, 0.959]",0.762,0.467,0.650
refined,k4,-0.299,"[-0.81, 0.212]",0.511,-1.061,0.314
refined,k5,-0.392,"[-1.198, 0.414]",0.806,-0.881,0.399
