stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.685,"[-1.298, -0.072]",0.613,-1.863,0.067
norefined,c,-4.897,"[-8.757, -1.037]",3.860,-2.116,0.038
norefined,s,-2.909,"[-5.253, -0.565]",2.344,-2.070,0.042
norefined,k0,-0.511,"[-1.524, 0.502]",1.013,-0.842,0.403
norefined,k1,1.377,"[-0.53, 3.284]",1.907,1.204,0.233
norefined,k2,-0.596,"[-1.962, 0.77]",1.366,-0.727,0.470
norefined,k3,-1.288,"[-2.72, 0.144]",1.432,-1.500,0.138
norefined,k4,-1.332,"[-3.115, 0.451]",1.783,-1.246,0.217
norefined,k5,-0.549,"[-2.291, 1.194]",1.743,-0.525,0.601
refined,tt,-1.099,"[-1.662, -0.536]",0.563,-3.255,0.002
refined,c,-6.354,"[-9.534, -3.174]",3.180,-3.333,0.001
refined,s,-3.218,"[-4.78, -1.655]",1.563,-3.434,0.001
refined,k0,0.543,"[-0.28, 1.365]",0.823,1.100,0.275
refined,k1,-0.038,"[-0.839, 0.762]",0.800,-0.079,0.937
refined,k2,-0.285,"[-1.281, 0.711]",0.996,-0.477,0.635
refined,k3,0.091,"[-0.593, 0.775]",0.684,0.222,0.825
refined,k4,0.292,"[-0.413, 0.996]",0.704,0.691,0.492
refined,k5,-0.333,"[-1.161, 0.496]",0.828,-0.670,0.505
