stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.261,-7.726,-3.663,-1.336,0.694,-0.439,0.610,-1.886,1.814,2669584858.452,0.034
norefined,2,-0.751,-7.704,-3.707,-1.318,0.657,-0.460,0.566,-1.857,1.767,1882319545.169,0.098
norefined,3,-1.221,-7.668,-3.759,-1.228,0.600,-0.490,0.525,-1.795,1.681,1455099728.868,0.159
norefined,4,-1.499,-7.635,-3.931,-1.116,0.418,-0.535,0.402,-1.640,1.445,1370205768.370,0.196
norefined,5,-1.087,-7.684,-4.083,-1.077,0.309,-0.571,0.316,-1.544,1.292,1291410510.373,0.141
norefined,6,-1.532,-7.643,-4.130,-0.938,0.224,-0.591,0.273,-1.450,1.191,1266370908.367,0.200
norefined,7,-1.058,-7.710,-4.210,-0.908,0.164,-0.610,0.232,-1.417,1.113,1209724621.091,0.137
norefined,8,-1.509,-7.672,-4.236,-0.757,0.094,-0.626,0.203,-1.327,1.030,1171818463.494,0.197
norefined,9,-1.027,-7.742,-4.297,-0.737,0.041,-0.645,0.170,-1.303,0.965,1151427273.533,0.133
norefined,10,-1.487,-7.702,-4.307,-0.591,-0.015,-0.656,0.154,-1.218,0.893,1090549888.889,0.193
refined,11,-1.487,-7.702,-4.307,-0.591,-0.015,-0.656,0.154,-1.218,0.893,1090549888.889,0.193
refined,12,-1.348,-8.493,-4.477,0.204,-0.302,-0.314,0.452,-0.225,0.039,881771654.025,0.159
refined,13,-1.538,-10.328,-5.563,-0.139,0.206,-0.623,0.684,0.343,-0.031,863999618.246,0.149
refined,14,-1.870,-12.536,-6.769,-0.293,0.244,-0.889,1.009,0.424,-0.259,859299702.414,0.149
refined,15,-2.493,-16.675,-9.187,-0.697,0.415,-1.103,1.510,0.709,-0.571,851220457.612,0.149
refined,16,-3.821,-25.473,-14.009,-1.321,0.667,-1.904,2.778,1.171,-1.190,841939500.852,0.150
refined,17,-6.904,-46.185,-23.624,-2.074,0.970,-5.129,6.463,2.198,-2.590,833636926.318,0.149
refined,18,-12.945,-87.072,-41.567,-3.249,1.264,-11.306,13.167,4.788,-4.269,848437682.708,0.149
refined,19,-4.977,-34.127,-17.633,-1.794,1.321,-3.293,4.255,2.419,-2.218,840101124.432,0.146
refined,20,-9.275,-61.538,-29.869,-2.278,0.203,-8.078,8.990,2.495,-2.344,839755043.643,0.151
