stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,5.260,2.023,0.000,76,0,9,1861159570.313,1090549888.894
refined,9.176,2.023,0.000,76,0,9,1861159570.313,833636926.323
