stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,27.949,1.857,0.000,38,0,9,1272174416.683,131507516.817
refined,27.949,1.857,0.000,38,0,9,1272174416.683,131507516.817
