stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.281,-7.805,-1.020,0.423,-1.749,-1.994,-0.852,-1.347,-1.307,350101500.260,0.164
norefined,2,-1.161,-7.766,-1.447,0.382,-1.602,-1.888,-0.787,-1.462,-1.304,277412134.874,0.150
norefined,3,-0.968,-7.733,-1.841,0.334,-1.441,-1.780,-0.738,-1.571,-1.260,200415497.167,0.125
norefined,4,-0.888,-7.693,-2.228,0.257,-1.235,-1.605,-0.676,-1.648,-1.199,147020447.803,0.115
norefined,5,-1.021,-7.632,-2.573,0.167,-1.022,-1.395,-0.591,-1.672,-1.135,103815243.640,0.134
norefined,6,-1.344,-7.585,-2.766,0.114,-0.825,-1.165,-0.537,-1.643,-1.048,87706314.467,0.177
norefined,7,-0.917,-7.587,-2.956,0.063,-0.740,-1.052,-0.481,-1.673,-1.116,95108400.582,0.121
norefined,8,-1.399,-7.557,-2.931,0.085,-0.729,-1.035,-0.500,-1.625,-1.004,78412897.315,0.185
norefined,9,-0.958,-7.563,-3.100,0.033,-0.656,-0.935,-0.451,-1.650,-1.081,86327439.724,0.127
norefined,10,-1.439,-7.537,-3.059,0.061,-0.652,-0.924,-0.477,-1.597,-0.974,72053158.305,0.191
refined,11,-1.439,-7.537,-3.059,0.061,-0.652,-0.924,-0.477,-1.597,-0.974,72053158.305,0.191
refined,12,0.359,1.912,-0.121,-0.056,0.630,0.075,1.289,1.827,0.826,2723639154.947,0.188
refined,13,-1.035,-3.720,-0.131,-1.173,-3.842,-2.714,1.310,-6.159,1.507,315500525.458,0.278
refined,14,1.733,1.553,-1.808,0.447,11.320,8.289,-6.815,11.830,-2.007,4162732510.916,1.116
refined,15,8.734,20.677,-11.121,-3.098,78.030,74.005,-37.025,78.152,-10.562,3941390450.320,0.422
refined,16,5002.181,11033.449,-4662.970,-5830.305,32237.779,41655.214,-19379.519,39713.366,-4955.025,3792270651.569,0.453
refined,17,-3161.843,12338.113,-4662.970,-6705.530,31507.808,40207.207,-20787.464,41667.700,-5018.950,3614635095.473,-0.256
refined,18,-3161.843,12338.113,-4662.970,-6705.530,31507.808,40207.207,-20787.464,41667.700,-5018.950,3614635095.473,-0.256
refined,19,-3161.843,12338.113,-4662.970,-6705.530,31507.808,40207.207,-20787.464,41667.700,-5018.950,3614635095.473,-0.256
refined,20,-3161.843,12338.113,-4662.970,-6705.530,31507.808,40207.207,-20787.464,41667.700,-5018.950,3614635095.473,-0.256
