stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.176,-6.385,-1.944,-1.938,0.090,0.171,-0.924,-1.308,-1.555,914552179.252,1584,0,0,-0.028
norefined,2,-0.316,-6.416,-1.903,-1.920,0.037,0.207,-0.910,-1.325,-1.532,590624334.827,1584,0,0,0.049
norefined,3,-0.812,-6.405,-1.891,-1.874,0.012,0.220,-0.927,-1.321,-1.516,329363569.941,1584,0,0,0.127
norefined,4,-1.282,-6.342,-2.019,-1.783,0.011,0.207,-0.939,-1.326,-1.494,280408990.470,1584,0,0,0.202
norefined,5,-0.857,-6.394,-2.239,-1.703,0.039,0.218,-0.840,-1.362,-1.482,294359823.482,1584,0,0,0.134
norefined,6,-1.347,-6.352,-2.262,-1.634,0.029,0.216,-0.846,-1.321,-1.450,264109799.767,1584,0,0,0.212
norefined,7,-0.884,-6.422,-2.398,-1.599,0.037,0.234,-0.746,-1.336,-1.434,280048056.752,1584,0,0,0.138
norefined,8,-1.374,-6.383,-2.398,-1.532,0.026,0.233,-0.755,-1.285,-1.402,253475941.038,1584,0,0,0.215
norefined,9,-0.904,-6.457,-2.510,-1.508,0.029,0.252,-0.656,-1.293,-1.385,269464581.281,1584,0,0,0.140
norefined,10,-1.393,-6.419,-2.498,-1.440,0.016,0.248,-0.669,-1.237,-1.355,244937004.689,1584,0,0,0.217
refined,11,-1.393,-6.419,-2.498,-1.440,0.016,0.248,-0.669,-1.237,-1.355,244937004.689,1584,0,0,0.217
refined,12,-0.998,-5.312,-2.638,-0.281,-0.192,0.215,0.079,-0.288,-0.431,172443359.020,1584,0,0,0.188
refined,13,-1.166,-6.409,-3.162,-0.166,-0.232,0.187,0.177,-0.093,-0.568,168980127.997,1584,0,0,0.182
refined,14,-1.146,-6.347,-3.154,-0.112,-0.250,0.199,0.183,-0.041,-0.496,168825923.230,1584,0,0,0.181
refined,15,-1.170,-6.473,-3.214,-0.109,-0.252,0.192,0.187,-0.036,-0.510,168810803.600,1584,0,0,0.181
refined,16,-1.162,-6.433,-3.197,-0.106,-0.252,0.195,0.185,-0.033,-0.499,168808492.615,1584,0,0,0.181
refined,17,-1.167,-6.457,-3.208,-0.106,-0.253,0.193,0.186,-0.033,-0.503,168807974.326,1584,0,0,0.181
refined,18,-1.165,-6.447,-3.204,-0.106,-0.253,0.194,0.186,-0.033,-0.501,168807860.347,1584,0,0,0.181
refined,19,-1.166,-6.452,-3.206,-0.106,-0.253,0.194,0.186,-0.033,-0.502,168807833.697,1584,0,0,0.181
refined,20,-1.165,-6.450,-3.205,-0.106,-0.253,0.194,0.186,-0.033,-0.501,168807827.580,1584,0,0,0.181
