stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.803,-4.554,-2.873,1.032,-1.813,1.041,0.783,0.405,1.433,6188876606.226,1584,0,0,-0.176
norefined,2,0.355,-4.624,-2.937,0.944,-1.890,0.931,0.698,0.368,1.356,4239625983.175,1584,0,0,-0.077
norefined,3,-0.121,-4.654,-2.981,0.885,-1.937,0.848,0.635,0.347,1.294,1589603598.454,1584,0,0,0.026
norefined,4,-0.599,-4.671,-2.988,0.822,-1.975,0.752,0.583,0.337,1.232,535019538.507,1584,0,0,0.128
norefined,5,-1.053,-4.675,-2.993,0.715,-1.952,0.610,0.531,0.364,1.142,540294581.520,1584,0,0,0.225
norefined,6,-0.595,-4.786,-3.044,0.692,-1.948,0.537,0.492,0.263,1.055,441887748.486,1584,0,0,0.124
norefined,7,-1.059,-4.787,-3.036,0.614,-1.905,0.413,0.451,0.293,0.964,453518939.840,1584,0,0,0.221
norefined,8,-0.595,-4.895,-3.076,0.618,-1.881,0.361,0.423,0.194,0.879,382279329.523,1584,0,0,0.122
norefined,9,-1.065,-4.897,-3.054,0.562,-1.823,0.253,0.389,0.228,0.789,395903787.224,1584,0,0,0.217
norefined,10,-0.598,-5.004,-3.080,0.588,-1.782,0.218,0.370,0.134,0.705,339507473.345,1584,0,0,0.119
refined,11,-0.598,-5.004,-3.080,0.588,-1.782,0.218,0.370,0.134,0.705,339507473.345,1584,0,0,0.119
refined,12,-0.562,-3.800,-1.572,0.310,0.267,-0.462,0.045,0.082,0.312,187603781.024,1584,0,0,0.148
refined,13,-0.683,-4.489,-2.157,0.205,-0.041,-0.065,-0.087,0.126,0.070,162228507.234,1584,0,0,0.152
refined,14,-0.714,-4.660,-2.282,0.268,-0.101,-0.073,0.007,0.154,0.075,161700290.455,1584,0,0,0.153
refined,15,-0.722,-4.712,-2.306,0.266,-0.095,-0.065,-0.003,0.159,0.075,161689551.103,1584,0,0,0.153
refined,16,-0.724,-4.721,-2.310,0.268,-0.095,-0.066,0.001,0.160,0.075,161688843.433,1584,0,0,0.153
refined,17,-0.724,-4.725,-2.312,0.267,-0.094,-0.065,0.000,0.160,0.074,161688775.479,1584,0,0,0.153
refined,18,-0.724,-4.725,-2.313,0.268,-0.094,-0.065,0.001,0.161,0.074,161688768.053,1584,0,0,0.153
refined,19,-0.724,-4.725,-2.313,0.267,-0.094,-0.065,0.000,0.161,0.074,161688767.154,1584,0,0,0.153
refined,20,-0.724,-4.725,-2.313,0.267,-0.094,-0.065,0.000,0.161,0.074,161688767.035,1584,0,0,0.153
