stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.479,-5.507,-2.226,0.251,1.831,-1.878,0.861,0.609,-0.330,1650476250.595,1584,0,0,0.450
norefined,2,-2.076,-5.633,-2.381,0.190,1.741,-1.959,0.735,0.528,-0.418,1308863341.297,1584,0,0,0.369
norefined,3,-1.633,-5.728,-2.540,0.134,1.699,-2.020,0.649,0.470,-0.424,1035621022.219,1584,0,0,0.285
norefined,4,-1.197,-5.781,-2.714,0.070,1.654,-2.030,0.511,0.450,-0.394,878281845.204,1584,0,0,0.207
norefined,5,-0.942,-5.832,-2.853,-0.048,1.584,-1.854,0.213,0.391,-0.249,813310553.317,1584,0,0,0.162
norefined,6,-1.391,-5.818,-2.816,-0.072,1.548,-1.729,0.083,0.363,-0.140,827839852.465,1584,0,0,0.239
norefined,7,-0.940,-5.866,-2.953,-0.133,1.491,-1.679,-0.035,0.360,-0.091,753793508.123,1584,0,0,0.160
norefined,8,-1.399,-5.845,-2.898,-0.141,1.464,-1.553,-0.123,0.360,0.017,790877264.455,1584,0,0,0.239
norefined,9,-0.933,-5.888,-3.029,-0.186,1.418,-1.519,-0.208,0.367,0.059,715392133.162,1584,0,0,0.159
norefined,10,-1.399,-5.865,-2.960,-0.184,1.394,-1.402,-0.266,0.386,0.159,764478092.056,1584,0,0,0.238
refined,11,-0.933,-5.888,-3.029,-0.186,1.418,-1.519,-0.208,0.367,0.059,715392133.162,1584,0,0,0.159
refined,12,-0.613,-4.112,-1.565,-0.268,0.405,-0.490,-0.564,0.854,1.155,642656441.013,1584,0,0,0.149
refined,13,-0.391,-2.204,-1.062,-0.155,0.826,-0.475,-0.577,0.511,0.310,579937296.297,1584,0,0,0.177
refined,14,-0.294,-1.718,-0.653,0.001,0.459,-0.391,-0.474,0.620,0.437,519189013.048,1584,0,0,0.171
refined,15,-0.233,-1.249,-0.534,-0.031,0.457,-0.346,-0.454,0.524,0.396,495953033.859,1584,0,0,0.186
refined,16,-0.226,-1.204,-0.514,-0.033,0.435,-0.342,-0.424,0.522,0.403,494714587.385,1584,0,0,0.187
refined,17,-0.224,-1.186,-0.511,-0.034,0.434,-0.341,-0.422,0.519,0.402,494649323.356,1584,0,0,0.188
refined,18,-0.223,-1.182,-0.509,-0.034,0.433,-0.340,-0.421,0.518,0.402,494644975.866,1584,0,0,0.189
refined,19,-0.223,-1.181,-0.509,-0.035,0.433,-0.340,-0.421,0.518,0.401,494644671.790,1584,0,0,0.189
refined,20,-0.223,-1.181,-0.509,-0.035,0.433,-0.340,-0.421,0.517,0.401,494644650.320,1584,0,0,0.189
