stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.539,-4.141,-4.236,-1.381,-0.055,1.059,-0.928,-0.740,-1.907,1206458205.344,1584,0,0,0.372
norefined,2,-1.076,-4.193,-4.388,-1.345,-0.072,1.004,-0.925,-0.696,-1.850,962335881.357,1584,0,0,0.257
norefined,3,-0.958,-4.277,-4.538,-1.226,-0.110,0.876,-0.686,-0.573,-1.530,858429736.003,1584,0,0,0.224
norefined,4,-1.074,-4.322,-4.605,-1.166,-0.135,0.759,-0.371,-0.469,-1.211,758823638.665,1584,0,0,0.248
norefined,5,-0.905,-4.420,-4.631,-1.122,-0.130,0.633,-0.081,-0.394,-0.889,700195039.237,1584,0,0,0.205
norefined,6,-1.350,-4.464,-4.487,-1.129,-0.168,0.576,0.033,-0.383,-0.781,769340344.459,1584,0,0,0.302
norefined,7,-0.865,-4.524,-4.579,-1.120,-0.159,0.556,0.030,-0.359,-0.738,688320628.707,1584,0,0,0.191
norefined,8,-1.338,-4.539,-4.448,-1.129,-0.180,0.530,0.103,-0.349,-0.689,752005410.948,1584,0,0,0.295
norefined,9,-0.852,-4.599,-4.537,-1.119,-0.170,0.511,0.095,-0.325,-0.649,678918718.090,1584,0,0,0.185
norefined,10,-1.329,-4.608,-4.408,-1.127,-0.185,0.491,0.159,-0.315,-0.612,738818432.888,1584,0,0,0.288
refined,11,-0.852,-4.599,-4.537,-1.119,-0.170,0.511,0.095,-0.325,-0.649,678918718.090,1584,0,0,0.185
refined,12,-0.409,-3.764,0.178,0.375,0.946,-0.190,0.809,-0.170,0.722,2966748617.847,1584,0,0,0.109
refined,13,-0.179,-0.641,-0.767,-0.325,-0.301,0.045,-0.310,0.056,0.248,753429784.884,1584,0,0,0.278
refined,14,-0.339,-1.882,-1.206,-0.305,-0.289,0.005,-0.037,0.109,0.254,468239645.072,1584,0,0,0.180
refined,15,-0.529,-3.175,-1.812,-0.440,-0.205,0.039,0.143,0.128,0.314,420335692.321,1584,0,0,0.167
refined,16,-0.814,-5.104,-2.679,-0.709,-0.085,0.028,0.396,0.236,0.354,399205791.206,1584,0,0,0.159
refined,17,-1.071,-6.740,-3.412,-0.967,0.025,-0.174,0.492,0.412,0.453,393784487.638,1584,0,0,0.159
refined,18,-1.148,-7.074,-3.609,-1.108,0.111,-0.434,0.356,0.513,0.594,392308606.064,1584,0,0,0.162
refined,19,-1.259,-7.732,-3.943,-1.228,0.142,-0.511,0.424,0.570,0.658,391900890.589,1584,0,0,0.163
refined,20,-1.281,-7.805,-4.002,-1.258,0.169,-0.598,0.378,0.594,0.710,391788387.253,1584,0,0,0.164
