stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,112.935,2.023,0.000,0,9,3802200531.822,235133736.913,76
refined,137.190,2.023,0.000,0,9,3802200531.822,195701480.763,76
