stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.269,"[-2.006, -0.532]",0.737,-3.436,0.001
norefined,c,-5.836,"[-9.107, -2.564]",3.271,-3.561,0.001
norefined,s,-2.566,"[-4.143, -0.988]",1.577,-3.247,0.002
norefined,k0,0.051,"[-0.749, 0.851]",0.800,0.127,0.899
norefined,k1,0.039,"[-0.888, 0.966]",0.927,0.084,0.934
norefined,k2,-0.408,"[-1.461, 0.644]",1.053,-0.774,0.442
norefined,k3,0.345,"[-0.58, 1.27]",0.925,0.744,0.459
norefined,k4,-0.222,"[-1.241, 0.796]",1.019,-0.435,0.665
norefined,k5,-0.288,"[-1.035, 0.46]",0.748,-0.768,0.445
refined,tt,-1.129,"[-1.76, -0.499]",0.631,-3.574,0.001
refined,c,-6.167,"[-9.37, -2.964]",3.203,-3.843,0.000
refined,s,-2.879,"[-4.578, -1.18]",1.699,-3.382,0.001
refined,k0,-0.369,"[-1.082, 0.343]",0.713,-1.035,0.305
refined,k1,-0.063,"[-0.894, 0.769]",0.832,-0.150,0.881
refined,k2,0.268,"[-0.617, 1.153]",0.885,0.604,0.548
refined,k3,-0.166,"[-1.044, 0.712]",0.878,-0.378,0.707
refined,k4,-0.214,"[-1.168, 0.739]",0.953,-0.449,0.655
refined,k5,-0.496,"[-1.23, 0.238]",0.734,-1.349,0.182
