stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,27.081,1.727,0.000,0,9,3324126642.896,716751314.031,76
refined,47.175,1.727,0.000,0,9,3324126642.896,453068877.952,76
