stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.737,-4.719,-2.080,0.527,1.533,-0.788,1.057,-1.941,-1.685,1155473493.379,1584,0,0,0.580
norefined,2,-2.373,-4.857,-2.308,0.416,1.415,-0.797,0.943,-1.994,-1.750,946741384.990,1584,0,0,0.489
norefined,3,-1.978,-5.009,-2.504,0.324,1.298,-0.730,0.870,-2.013,-1.735,748858357.070,1584,0,0,0.395
norefined,4,-1.523,-5.153,-2.606,0.300,1.207,-0.696,0.846,-2.031,-1.715,489253512.490,1584,0,0,0.295
norefined,5,-1.052,-5.273,-2.687,0.319,1.149,-0.670,0.815,-2.020,-1.666,308479815.957,1584,0,0,0.200
norefined,6,-0.611,-5.385,-2.754,0.378,1.081,-0.579,0.748,-1.927,-1.575,225213893.957,1584,0,0,0.113
norefined,7,-0.668,-5.540,-2.742,0.607,0.917,-0.458,0.571,-1.705,-1.357,163336540.472,1584,0,0,0.121
norefined,8,-0.744,-5.668,-2.734,0.806,0.738,-0.311,0.412,-1.464,-1.130,113412800.543,1584,0,0,0.131
norefined,9,-0.876,-5.753,-2.745,0.947,0.530,-0.139,0.296,-1.216,-0.890,77122698.868,1584,0,0,0.152
norefined,10,-0.655,-5.810,-2.838,1.017,0.315,0.053,0.261,-0.994,-0.664,76429219.676,1584,0,0,0.113
refined,11,-0.655,-5.810,-2.838,1.017,0.315,0.053,0.261,-0.994,-0.664,76429219.676,1584,0,0,0.113
refined,12,-0.800,-3.649,-2.301,0.275,-0.133,0.206,-0.136,0.158,-0.018,45514066.350,1584,0,0,0.219
refined,13,-0.899,-4.955,-2.830,0.275,-0.096,0.151,0.103,0.112,-0.043,26365185.649,1584,0,0,0.182
refined,14,-0.915,-5.263,-2.905,0.246,-0.072,0.085,0.140,0.152,0.028,25619696.885,1584,0,0,0.174
refined,15,-0.920,-5.301,-2.916,0.231,-0.069,0.078,0.135,0.166,0.044,25611327.528,1584,0,0,0.174
refined,16,-0.920,-5.303,-2.915,0.228,-0.068,0.078,0.134,0.168,0.046,25611136.765,1584,0,0,0.174
refined,17,-0.920,-5.303,-2.915,0.227,-0.068,0.078,0.134,0.168,0.047,25611131.819,1584,0,0,0.174
refined,18,-0.920,-5.303,-2.915,0.227,-0.068,0.078,0.134,0.168,0.047,25611131.674,1584,0,0,0.174
refined,19,-0.920,-5.303,-2.915,0.227,-0.068,0.078,0.134,0.168,0.047,25611131.669,1584,0,0,0.174
refined,20,-0.920,-5.303,-2.915,0.227,-0.068,0.078,0.134,0.168,0.047,25611131.669,1584,0,0,0.174
