stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,32.833,1.857,0.000,38,0,9,1288200242.268,115123955.309
refined,134.224,1.857,0.000,38,0,9,1288200242.268,30199942.834
