theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,71255.0,-1779.1,-85.2
-14.5,70972.0,-1821.1,-91.9
-14.0,70679.0,-1859.1,-100.2
-13.5,70374.3,-1892.4,-111.1
-13.0,70056.5,-1920.9,-126.3
-12.5,69723.3,-1945.3,-147.8
-12.0,69371.8,-1967.9,-178.3
-11.5,68899.9,-2088.5,-218.8
-11.0,68622.5,-2281.4,-276.3
-10.5,67958.8,-2251.8,-343.9
-10.0,67379.3,-2399.4,-435.0
-9.5,66735.3,-2571.6,-555.5
-9.0,66115.2,-2932.2,-701.7
-8.5,65249.3,-3190.0,-909.5
-8.0,64183.7,-3586.2,-1165.6
-7.5,62907.5,-4078.6,-1506.4
-7.0,61344.9,-4713.4,-1959.9
-6.5,59402.5,-5571.9,-2535.4
-6.0,56997.2,-6699.6,-3278.3
-5.5,54127.9,-8213.0,-4248.0
-5.0,50930.0,-10304.7,-5545.0
-4.5,46074.6,-13163.1,-7306.5
-4.0,40701.1,-17112.7,-9128.1
-3.5,34872.8,-21950.7,-10719.4
-3.0,28669.9,-27284.7,-11372.2
-2.5,22102.5,-32241.9,-8789.6
-2.0,15015.5,-34435.5,2989.8
-1.5,7447.7,-28209.9,34634.1
-1.0,2534.4,-2096.6,97209.9
-0.5,14318.7,60968.3,171047.7
0.0,66041.7,153409.2,157919.0
0.5,151756.2,218732.9,22616.8
1.0,246753.1,221266.6,-84437.7
1.5,332113.7,185287.5,-112636.7
2.0,639229.6,38603.2,-35459.0
2.5,657709.7,26415.9,-18011.9
3.0,670630.7,18322.0,-13040.0
3.5,679226.3,12310.7,-9406.8
4.0,684758.8,8105.1,-6499.6
4.5,688285.3,5283.7,-4365.9
5.0,690533.0,3429.1,-2886.2
5.5,691969.5,2221.2,-1890.9
6.0,692890.5,1437.8,-1232.4
6.5,693482.5,930.7,-800.9
7.0,693863.9,602.7,-519.7
7.5,694110.2,390.6,-337.0
8.0,694269.4,253.2,-218.5
8.5,694372.6,164.3,-141.7
9.0,694439.5,106.7,-91.9
9.5,694482.9,69.4,-59.6
10.0,694511.1,45.1,-38.7
10.5,694529.5,29.4,-25.2
11.0,694541.4,19.2,-16.4
11.5,694549.2,12.5,-10.7
12.0,694554.3,8.2,-6.9
12.5,694557.7,5.3,-4.5
13.0,694559.8,3.5,-3.0
13.5,694561.3,2.3,-1.9
14.0,694562.2,1.5,-1.3
14.5,694562.8,1.0,-0.8
15.0,694563.2,0.6,-0.5
