stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,112.488,2.023,0.000,76,0,9,3255690226.018,202087295.765
refined,211.633,2.023,0.000,76,0,9,3255690226.018,110631069.336
