attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.161,"[-0.207, -0.115]",0.046,-7.017,0.000,76,0.800,427260860.010,0.171,-1.000,0.839,0,0,fn
c,-1.149,"[-1.528, -0.77]",0.379,-6.054,0.000,76,0.800,427260860.010,0.171,-6.000,4.851,0,0,fn
s,-0.547,"[-0.745, -0.348]",0.198,-5.498,0.000,76,0.800,427260860.010,0.171,-3.000,2.453,0,0,fn
k0,0.159,"[-0.087, 0.405]",0.246,1.293,0.201,76,0.800,427260860.010,0.171,0.000,0.159,0,0,fp
k1,0.200,"[-0.031, 0.431]",0.231,1.732,0.088,76,0.800,427260860.010,0.171,0.000,0.200,0,1,fp
k2,0.363,"[0.11, 0.616]",0.253,2.864,0.006,76,0.800,427260860.010,0.171,0.000,0.363,0,1,fp
k3,0.266,"[0.012, 0.519]",0.253,2.093,0.040,76,0.800,427260860.010,0.171,0.000,0.266,0,1,fp
k4,0.168,"[-0.053, 0.388]",0.221,1.517,0.134,76,0.800,427260860.010,0.171,0.000,0.168,0,0,fp
k5,-0.199,"[-0.465, 0.066]",0.266,-1.497,0.139,76,0.800,427260860.010,0.171,0.000,-0.199,0,0,fp
vot,0.141,,,,,76,0.800,427260860.010,0.171,0.167,-0.026,0,0,fn
tt,-0.388,"[-0.515, -0.261]",0.127,-6.099,0.000,76,0.900,227668493.218,0.138,-1.000,0.612,0,0,fn
c,-2.654,"[-3.548, -1.76]",0.894,-5.928,0.000,76,0.900,227668493.218,0.138,-6.000,3.346,0,0,fn
s,-1.161,"[-1.557, -0.765]",0.396,-5.849,0.000,76,0.900,227668493.218,0.138,-3.000,1.839,0,0,fn
k0,0.295,"[-0.041, 0.631]",0.336,1.751,0.084,76,0.900,227668493.218,0.138,0.000,0.295,0,1,fp
k1,0.300,"[-0.009, 0.609]",0.309,1.939,0.057,76,0.900,227668493.218,0.138,0.000,0.300,0,1,fp
k2,0.335,"[0.022, 0.649]",0.314,2.136,0.036,76,0.900,227668493.218,0.138,0.000,0.335,0,1,fp
k3,0.370,"[0.042, 0.699]",0.328,2.251,0.028,76,0.900,227668493.218,0.138,0.000,0.370,0,1,fp
k4,0.445,"[0.109, 0.781]",0.336,2.645,0.010,76,0.900,227668493.218,0.138,0.000,0.445,0,1,fp
k5,-0.397,"[-0.74, -0.054]",0.343,-2.311,0.024,76,0.900,227668493.218,0.138,0.000,-0.397,0,1,fp
vot,0.146,,,,,76,0.900,227668493.218,0.138,0.167,-0.020,0,0,fn
tt,-1.161,"[-1.497, -0.825]",0.336,-6.904,0.000,76,1.100,117023877.864,0.122,-1.000,-0.161,0,0,fn
c,-6.383,"[-8.373, -4.393]",1.990,-6.403,0.000,76,1.100,117023877.864,0.122,-6.000,-0.383,0,0,fn
s,-3.296,"[-4.277, -2.314]",0.982,-6.701,0.000,76,1.100,117023877.864,0.122,-3.000,-0.296,0,0,fn
k0,0.220,"[-0.448, 0.888]",0.668,0.658,0.513,76,1.100,117023877.864,0.122,0.000,0.220,0,0,fp
k1,-0.339,"[-0.944, 0.266]",0.605,-1.117,0.268,76,1.100,117023877.864,0.122,0.000,-0.339,0,0,fp
k2,-0.193,"[-0.847, 0.46]",0.653,-0.590,0.557,76,1.100,117023877.864,0.122,0.000,-0.193,0,0,fp
k3,-0.166,"[-0.718, 0.386]",0.552,-0.601,0.550,76,1.100,117023877.864,0.122,0.000,-0.166,0,0,fp
k4,0.146,"[-0.534, 0.826]",0.680,0.428,0.670,76,1.100,117023877.864,0.122,0.000,0.146,0,0,fp
k5,0.396,"[-0.127, 0.919]",0.523,1.510,0.136,76,1.100,117023877.864,0.122,0.000,0.396,0,0,fp
vot,0.182,,,,,76,1.100,117023877.864,0.122,0.167,0.015,0,0,fn
tt,-1.357,"[-2.07, -0.645]",0.713,-3.802,0.000,76,1.200,380616340.871,0.243,-1.000,-0.357,0,0,fn
c,-7.500,"[-11.587, -3.412]",4.088,-3.662,0.000,76,1.200,380616340.871,0.243,-6.000,-1.500,0,0,fn
s,-3.588,"[-5.47, -1.706]",1.882,-3.805,0.000,76,1.200,380616340.871,0.243,-3.000,-0.588,0,0,fn
k0,0.256,"[-0.923, 1.435]",1.179,0.433,0.667,76,1.200,380616340.871,0.243,0.000,0.256,0,0,fp
k1,-0.614,"[-1.745, 0.516]",1.130,-1.085,0.282,76,1.200,380616340.871,0.243,0.000,-0.614,0,0,fp
k2,-0.735,"[-1.964, 0.494]",1.229,-1.194,0.237,76,1.200,380616340.871,0.243,0.000,-0.735,0,0,fp
k3,-0.393,"[-1.391, 0.605]",0.998,-0.786,0.435,76,1.200,380616340.871,0.243,0.000,-0.393,0,0,fp
k4,-0.031,"[-1.294, 1.231]",1.262,-0.049,0.961,76,1.200,380616340.871,0.243,0.000,-0.031,0,0,fp
k5,0.617,"[-0.391, 1.624]",1.008,1.222,0.226,76,1.200,380616340.871,0.243,0.000,0.617,0,0,fp
vot,0.181,,,,,76,1.200,380616340.871,0.243,0.167,0.014,0,0,fn
