stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.764,"[-1.139, -0.389]",0.375,-3.463,0.002
norefined,c,-4.040,"[-5.911, -2.169]",1.871,-3.668,0.001
norefined,s,-1.925,"[-3.003, -0.848]",1.077,-3.036,0.005
norefined,k0,-0.137,"[-1.016, 0.742]",0.879,-0.265,0.793
norefined,k1,-0.194,"[-1.116, 0.728]",0.922,-0.357,0.724
norefined,k2,-1.452,"[-2.858, -0.047]",1.406,-1.756,0.090
norefined,k3,-0.812,"[-1.631, 0.007]",0.819,-1.684,0.103
norefined,k4,-0.156,"[-1.02, 0.708]",0.864,-0.307,0.761
norefined,k5,0.141,"[-0.825, 1.107]",0.966,0.248,0.806
refined,tt,-0.952,"[-1.233, -0.671]",0.281,-5.750,0.000
refined,c,-5.883,"[-7.642, -4.124]",1.759,-5.681,0.000
refined,s,-3.124,"[-4.108, -2.14]",0.984,-5.395,0.000
refined,k0,-0.166,"[-0.702, 0.371]",0.537,-0.524,0.604
refined,k1,0.510,"[-0.045, 1.065]",0.555,1.562,0.129
refined,k2,-0.820,"[-1.607, -0.033]",0.787,-1.769,0.087
refined,k3,-0.362,"[-0.803, 0.078]",0.441,-1.397,0.173
refined,k4,0.886,"[0.284, 1.489]",0.602,2.501,0.018
refined,k5,-0.296,"[-0.859, 0.267]",0.563,-0.894,0.379
