link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(1227, 1228, '0')",0,,1216.7,1200.0,1203.1,1203.6,1156.0,1164.9,1220.2,1287.8,1366.9,1415.7,1207.4,1676.7,1640.7,1777.2,1818.3,2435.2,2360.9,2114.3,2100.7,1991.9
"(64, 75, '0')",0,,2454.1,2447.4,2425.6,2425.0,2461.4,2529.7,2586.0,2675.0,2736.9,2793.5,2624.1,3132.3,3435.6,3603.1,3688.2,4114.1,4012.5,2782.0,2850.3,2959.5
"(333, 332, '0')",1,1952.0,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5,2925.5
"(169, 332, '0')",1,1573.0,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7,2795.7
"(66, 818, '0')",0,,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4,1139.4
"(323, 818, '0')",0,,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8
"(66, 206, '0')",0,,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8,1281.8
"(569, 206, '0')",0,,705.3,713.2,747.7,785.8,839.0,932.2,1016.5,1070.9,1104.3,1220.1,971.1,1511.3,1623.5,1512.8,1466.3,2185.1,2108.7,980.4,1291.8,1439.8
"(744, 206, '0')",0,,852.0,867.3,873.3,870.0,850.0,811.9,843.6,977.7,1092.5,1184.1,916.9,1974.2,2142.6,1963.4,1850.4,2482.4,2574.2,1030.7,1220.6,1443.9
"(1621, 206, '0')",0,,1090.4,1154.8,1269.5,1467.8,1734.7,2002.0,2228.1,2410.6,2671.6,2885.3,2244.9,3238.3,3422.9,3566.1,3669.4,3737.6,3717.4,3756.1,3702.9,3698.6
"(1552, 1727, '0')",0,,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9
"(1551, 1726, '0')",0,,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2
"(1550, 1725, '0')",0,,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
"(1549, 1724, '0')",0,,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
"(920, 924, '0')",0,,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9
"(903, 924, '0')",0,,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4
"(920, 1522, '0')",0,,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4
"(924, 920, '0')",0,,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4,346.4
"(480, 920, '0')",0,,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9
"(924, 903, '0')",0,,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9,284.9
"(905, 903, '0')",0,,930.6,942.2,978.6,1051.4,1191.2,1332.9,1435.9,1552.6,1614.1,1753.5,1442.3,2203.4,2451.1,2594.2,2669.7,2648.4,2580.9,2499.3,2669.8,2723.0
