stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,14.135,2.023,0.000,0,9,2374992057.632,819332233.762,76
refined,14.135,2.023,0.000,0,9,2374992057.632,819332233.762,76
