stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.883,"[-1.278, -0.487]",0.396,-4.454,0.000
norefined,c,-5.304,"[-7.368, -3.241]",2.064,-5.131,0.000
norefined,s,-3.567,"[-5.156, -1.978]",1.589,-4.480,0.000
norefined,k0,-0.324,"[-1.069, 0.421]",0.745,-0.868,0.389
norefined,k1,-0.457,"[-1.319, 0.404]",0.861,-1.060,0.293
norefined,k2,0.695,"[0.029, 1.36]",0.666,2.082,0.041
norefined,k3,-0.395,"[-1.134, 0.343]",0.738,-1.069,0.289
norefined,k4,-0.282,"[-0.966, 0.401]",0.684,-0.824,0.413
norefined,k5,-0.184,"[-0.888, 0.521]",0.704,-0.521,0.604
refined,tt,-1.513,"[-2.103, -0.922]",0.591,-5.114,0.000
refined,c,-7.690,"[-10.575, -4.805]",2.885,-5.320,0.000
refined,s,-4.774,"[-6.697, -2.851]",1.923,-4.956,0.000
refined,k0,-0.149,"[-0.975, 0.678]",0.826,-0.359,0.721
refined,k1,-0.338,"[-1.088, 0.411]",0.750,-0.901,0.371
refined,k2,0.193,"[-0.352, 0.739]",0.546,0.707,0.482
refined,k3,-0.119,"[-0.902, 0.664]",0.783,-0.304,0.762
refined,k4,-0.329,"[-1.078, 0.42]",0.749,-0.876,0.384
refined,k5,0.383,"[-0.237, 1.003]",0.620,1.234,0.222
