attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.763,"[-1.033, -0.493]",0.270,-4.708,0.000,73.791,ngd,86,228069746.323,0.154,-1.000,0.237,0,0,fn
c,-5.999,"[-8.212, -3.786]",2.213,-4.516,0.000,73.791,ngd,86,228069746.323,0.154,-6.000,0.001,0,0,fn
s,-3.506,"[-4.675, -2.338]",1.168,-5.000,0.000,73.791,ngd,86,228069746.323,0.154,-3.000,-0.506,0,0,fn
vot,0.127,,,,,73.791,ngd,86,228069746.323,0.154,0.167,-0.039,0,0,fn
tt,-0.656,"[-0.862, -0.449]",0.207,-5.282,0.000,60.020,lm,86,221449806.529,0.152,-1.000,0.344,0,0,fn
c,-4.518,"[-6.014, -3.023]",1.496,-5.033,0.000,60.020,lm,86,221449806.529,0.152,-6.000,1.482,0,0,fn
s,-2.587,"[-3.354, -1.82]",0.767,-5.619,0.000,60.020,lm,86,221449806.529,0.152,-3.000,0.413,0,0,fn
vot,0.145,,,,,60.020,lm,86,221449806.529,0.152,0.167,-0.022,0,0,fn
tt,-0.684,"[-0.898, -0.47]",0.214,-5.334,0.000,152.073,ngd+lm,86,221463897.601,0.152,-1.000,0.316,0,0,fn
c,-4.543,"[-6.033, -3.053]",1.490,-5.079,0.000,152.073,ngd+lm,86,221463897.601,0.152,-6.000,1.457,0,0,fn
s,-2.590,"[-3.352, -1.829]",0.761,-5.667,0.000,152.073,ngd+lm,86,221463897.601,0.152,-3.000,0.410,0,0,fn
vot,0.151,,,,,152.073,ngd+lm,86,221463897.601,0.152,0.167,-0.016,0,0,fn
