stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.552,"[-1.002, -0.102]",0.450,-2.048,0.044
norefined,c,-5.159,"[-9.268, -1.051]",4.108,-2.095,0.040
norefined,s,-2.208,"[-3.933, -0.483]",1.725,-2.135,0.036
norefined,k0,0.447,"[-0.623, 1.517]",1.070,0.696,0.489
norefined,k1,-0.454,"[-1.356, 0.447]",0.902,-0.840,0.404
norefined,k2,0.785,"[-0.356, 1.925]",1.141,1.147,0.255
norefined,k3,0.316,"[-0.596, 1.227]",0.911,0.577,0.566
norefined,k4,-1.567,"[-3.076, -0.058]",1.509,-1.732,0.088
norefined,k5,0.206,"[-0.718, 1.13]",0.924,0.372,0.711
refined,tt,-1.054,"[-1.784, -0.324]",0.730,-2.409,0.019
refined,c,-6.060,"[-10.504, -1.616]",4.444,-2.275,0.026
refined,s,-3.639,"[-6.266, -1.012]",2.627,-2.310,0.024
refined,k0,0.355,"[-0.781, 1.492]",1.136,0.522,0.604
refined,k1,-0.112,"[-0.853, 0.628]",0.740,-0.253,0.801
refined,k2,-0.587,"[-1.557, 0.383]",0.970,-1.009,0.316
refined,k3,-0.197,"[-1.088, 0.694]",0.891,-0.368,0.714
refined,k4,1.025,"[-0.449, 2.499]",1.474,1.159,0.250
refined,k5,-0.271,"[-1.136, 0.593]",0.865,-0.524,0.602
