stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.082,"[-2.368, 0.204]",1.286,-1.663,0.099
norefined,speed_sd,0.000,"[-0.393, 0.393]",0.393,0.000,1.000
norefined,incidents,-1.329,"[-3.301, 0.642]",1.971,-1.333,0.185
norefined,median_inc,0.249,"[-0.311, 0.808]",0.559,0.879,0.381
norefined,bus_stops,0.000,"[-1.504, 1.504]",1.504,0.000,1.000
norefined,intersections,0.000,"[-0.817, 0.817]",0.817,0.000,1.000
refined,tt,-1.904,"[-3.509, -0.299]",1.605,-2.345,0.020
refined,incidents,-2.409,"[-4.567, -0.252]",2.157,-2.208,0.029
refined,median_inc,0.864,"[0.015, 1.713]",0.849,2.013,0.046
