stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,14.800,2.166,0.000,0,6,280475870.729,169187469.085,141
refined,11.224,2.670,0.000,0,3,214627941.748,172529091.316,141
