stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,53.673,1.765,0.000,57,0,9,2549383581.683,230427729.795
refined,202.683,1.765,0.000,57,0,9,2549383581.683,65363675.273
