stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,17.883,2.347,0.000,19,0,9,383713935.168,22446835.460
refined,29.236,2.347,0.000,19,0,9,383713935.168,14049103.832
