stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.727,"[-1.248, -0.206]",0.521,-2.783,0.007
norefined,c,-5.881,"[-9.81, -1.953]",3.928,-2.988,0.004
norefined,s,-3.321,"[-5.429, -1.213]",2.108,-3.145,0.002
norefined,k0,-0.792,"[-1.845, 0.261]",1.053,-1.501,0.138
norefined,k1,-0.254,"[-1.355, 0.847]",1.101,-0.460,0.647
norefined,k2,-0.743,"[-1.616, 0.13]",0.873,-1.699,0.094
norefined,k3,-0.441,"[-1.313, 0.432]",0.873,-1.008,0.317
norefined,k4,0.174,"[-0.685, 1.032]",0.858,0.404,0.688
norefined,k5,-0.609,"[-1.468, 0.249]",0.858,-1.416,0.161
refined,tt,-1.284,"[-1.93, -0.638]",0.646,-3.969,0.000
refined,c,-7.989,"[-11.938, -4.04]",3.949,-4.038,0.000
refined,s,-3.745,"[-5.62, -1.871]",1.875,-3.988,0.000
refined,k0,0.405,"[-0.27, 1.081]",0.675,1.199,0.235
refined,k1,0.424,"[-0.295, 1.143]",0.719,1.176,0.244
refined,k2,-0.258,"[-0.748, 0.231]",0.489,-1.053,0.296
refined,k3,-0.416,"[-1.033, 0.201]",0.617,-1.347,0.183
refined,k4,-0.684,"[-1.401, 0.033]",0.717,-1.904,0.061
refined,k5,0.293,"[-0.241, 0.827]",0.534,1.095,0.278
