stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,110.754,2.023,0.000,76,0,9,2733158010.494,172141277.524
refined,152.712,2.023,0.000,76,0,9,2733158010.494,127043673.838
