stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.473,"[-2.143, -0.803]",0.670,-4.388,0.000
norefined,c,-7.546,"[-10.95, -4.142]",3.404,-4.424,0.000
norefined,s,-3.150,"[-4.373, -1.928]",1.222,-5.146,0.000
norefined,k0,-0.322,"[-0.962, 0.317]",0.639,-1.007,0.318
norefined,k1,0.054,"[-0.709, 0.816]",0.762,0.141,0.889
norefined,k2,1.307,"[-0.162, 2.775]",1.468,1.776,0.080
norefined,k3,-0.100,"[-0.712, 0.512]",0.612,-0.326,0.746
norefined,k4,-0.687,"[-1.262, -0.112]",0.575,-2.384,0.020
norefined,k5,-0.247,"[-0.922, 0.428]",0.675,-0.730,0.468
refined,tt,-1.089,"[-1.455, -0.723]",0.366,-5.943,0.000
refined,c,-6.326,"[-8.363, -4.29]",2.036,-6.202,0.000
refined,s,-2.980,"[-3.808, -2.152]",0.828,-7.185,0.000
refined,k0,0.144,"[-0.303, 0.592]",0.448,0.644,0.522
refined,k1,-0.291,"[-0.785, 0.202]",0.494,-1.179,0.243
refined,k2,0.338,"[-0.535, 1.212]",0.873,0.774,0.442
refined,k3,0.263,"[-0.173, 0.699]",0.436,1.206,0.232
refined,k4,-0.062,"[-0.367, 0.243]",0.305,-0.405,0.687
refined,k5,0.085,"[-0.338, 0.508]",0.423,0.401,0.690
