stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.954,-5.961,-3.059,0.032,1.379,1.459,-1.874,-0.517,-1.335,4639793628.208,-0.160
norefined,2,0.491,-5.974,-3.148,-0.066,1.332,1.410,-1.918,-0.604,-1.397,3033182811.424,-0.082
norefined,3,0.002,-5.985,-3.176,-0.121,1.287,1.386,-1.948,-0.629,-1.447,1281702463.561,-0.000
norefined,4,-0.492,-6.003,-3.141,-0.148,1.240,1.362,-1.970,-0.631,-1.478,500947691.630,0.082
norefined,5,-0.981,-6.015,-3.048,-0.166,1.209,1.357,-1.960,-0.611,-1.479,197848995.480,0.163
norefined,6,-1.425,-6.059,-2.973,-0.208,1.149,1.384,-1.854,-0.513,-1.341,349600161.500,0.235
norefined,7,-0.953,-6.124,-3.092,-0.228,1.097,1.321,-1.865,-0.552,-1.342,189682359.723,0.156
norefined,8,-1.421,-6.137,-3.007,-0.242,1.068,1.350,-1.788,-0.468,-1.253,324103880.587,0.232
norefined,9,-0.947,-6.202,-3.120,-0.256,1.022,1.287,-1.802,-0.504,-1.257,183834304.563,0.153
norefined,10,-1.421,-6.204,-3.038,-0.262,1.000,1.317,-1.732,-0.423,-1.181,306428019.908,0.229
refined,11,-0.947,-6.202,-3.120,-0.256,1.022,1.287,-1.802,-0.504,-1.257,183834304.563,0.153
refined,12,-1.149,-6.120,-3.170,0.927,-0.776,0.554,-0.342,-0.136,0.331,166748630.051,0.188
refined,13,-0.972,-6.058,-2.931,-0.007,0.002,0.292,-0.427,0.335,-0.180,103188829.062,0.160
refined,14,-1.228,-7.419,-3.572,0.104,-0.051,0.454,-0.617,0.323,-0.126,99020193.445,0.166
refined,15,-1.199,-7.301,-3.525,0.063,-0.043,0.514,-0.645,0.361,-0.232,98826415.852,0.164
refined,16,-1.246,-7.551,-3.637,0.067,-0.026,0.494,-0.669,0.382,-0.221,98800690.186,0.165
refined,17,-1.230,-7.472,-3.604,0.063,-0.035,0.515,-0.673,0.388,-0.241,98795535.428,0.165
refined,18,-1.244,-7.544,-3.636,0.064,-0.029,0.504,-0.678,0.393,-0.234,98793759.372,0.165
refined,19,-1.238,-7.511,-3.622,0.063,-0.033,0.512,-0.678,0.394,-0.240,98793216.834,0.165
refined,20,-1.242,-7.535,-3.632,0.063,-0.031,0.507,-0.679,0.395,-0.237,98793017.307,0.165
