stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.612,-5.086,-3.695,0.649,0.013,0.006,0.975,0.020,0.724,3356946990.261,1584,0,0,0.120
norefined,2,-1.094,-5.096,-3.627,0.613,-0.002,0.015,0.942,-0.053,0.656,2273528277.624,1584,0,0,0.215
norefined,3,-1.529,-5.144,-3.441,0.603,-0.033,-0.049,0.926,-0.152,0.564,2214955070.596,1584,0,0,0.297
norefined,4,-1.079,-5.266,-3.437,0.658,-0.112,-0.192,0.881,-0.187,0.562,2175670709.965,1584,0,0,0.205
norefined,5,-1.534,-5.289,-3.260,0.647,-0.117,-0.232,0.875,-0.257,0.490,2151087483.321,1584,0,0,0.290
norefined,6,-1.067,-5.388,-3.292,0.694,-0.171,-0.354,0.841,-0.271,0.491,2122627791.724,1584,0,0,0.198
norefined,7,-1.531,-5.396,-3.128,0.679,-0.161,-0.380,0.839,-0.322,0.430,2111806221.313,1584,0,0,0.284
norefined,8,-1.058,-5.480,-3.185,0.720,-0.201,-0.488,0.809,-0.323,0.432,2091688300.780,1584,0,0,0.193
norefined,9,-1.529,-5.478,-3.033,0.699,-0.181,-0.504,0.808,-0.362,0.378,2088084465.083,1584,0,0,0.279
norefined,10,-1.053,-5.552,-3.112,0.735,-0.212,-0.599,0.780,-0.354,0.382,2073617031.754,1584,0,0,0.190
refined,11,-1.053,-5.552,-3.112,0.735,-0.212,-0.599,0.780,-0.354,0.382,2073617031.754,1584,0,0,0.190
refined,12,-1.095,-4.644,-2.267,0.444,0.011,-1.110,0.020,-0.065,0.059,1969789617.677,1584,0,0,0.236
refined,13,-0.908,-4.164,-1.981,0.643,0.186,-0.789,0.029,-0.291,0.272,1956592755.169,1584,0,0,0.218
refined,14,-0.990,-4.321,-2.110,0.721,0.213,-0.931,0.004,-0.317,0.264,1954598014.272,1584,0,0,0.229
refined,15,-0.984,-4.341,-2.105,0.723,0.236,-0.929,0.001,-0.328,0.308,1954471831.749,1584,0,0,0.227
refined,16,-0.984,-4.315,-2.102,0.737,0.239,-0.933,0.001,-0.339,0.293,1954454924.574,1584,0,0,0.228
refined,17,-0.986,-4.335,-2.105,0.734,0.241,-0.934,-0.004,-0.331,0.306,1954451406.643,1584,0,0,0.228
refined,18,-0.983,-4.314,-2.100,0.736,0.241,-0.935,0.001,-0.340,0.299,1954450193.891,1584,0,0,0.228
refined,19,-0.986,-4.330,-2.103,0.736,0.241,-0.934,-0.005,-0.332,0.304,1954449444.274,1584,0,0,0.228
refined,20,-0.983,-4.314,-2.099,0.735,0.241,-0.935,0.000,-0.339,0.300,1954448936.796,1584,0,0,0.228
