attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.739,"[-1.009, -0.47]",0.270,-4.566,0.000,57.786,ngd,28,199216718.979,0.141,-1.000,0.261,0,0,fn
c,-6.128,"[-8.29, -3.966]",2.162,-4.722,0.000,57.786,ngd,28,199216718.979,0.141,-6.000,-0.128,0,0,fn
s,-3.386,"[-4.611, -2.162]",1.224,-4.609,0.000,57.786,ngd,28,199216718.979,0.141,-3.000,-0.386,0,0,fn
vot,0.121,,,,,57.786,ngd,28,199216718.979,0.141,0.167,-0.046,0,0,fn
tt,-0.862,"[-1.162, -0.562]",0.300,-4.787,0.000,57.634,lm,28,184154779.168,0.136,-1.000,0.138,0,0,fn
c,-6.202,"[-8.313, -4.09]",2.111,-4.894,0.000,57.634,lm,28,184154779.168,0.136,-6.000,-0.202,0,0,fn
s,-2.558,"[-3.448, -1.668]",0.890,-4.791,0.000,57.634,lm,28,184154779.168,0.136,-3.000,0.442,0,0,fn
vot,0.139,,,,,57.634,lm,28,184154779.168,0.136,0.167,-0.028,0,0,fn
tt,-0.865,"[-1.164, -0.565]",0.300,-4.808,0.000,114.541,ngd+lm,28,183314537.378,0.135,-1.000,0.135,0,0,fn
c,-6.570,"[-8.817, -4.323]",2.247,-4.872,0.000,114.541,ngd+lm,28,183314537.378,0.135,-6.000,-0.570,0,0,fn
s,-2.734,"[-3.681, -1.787]",0.947,-4.809,0.000,114.541,ngd+lm,28,183314537.378,0.135,-3.000,0.266,0,0,fn
vot,0.132,,,,,114.541,ngd+lm,28,183314537.378,0.135,0.167,-0.035,0,0,fn
