stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.856,"[-1.348, -0.364]",0.492,-3.470,0.001
norefined,c,-5.447,"[-8.523, -2.371]",3.076,-3.534,0.001
norefined,s,-3.351,"[-5.149, -1.553]",1.798,-3.720,0.000
norefined,k0,-0.385,"[-1.049, 0.28]",0.664,-1.156,0.252
norefined,k1,-0.428,"[-1.425, 0.568]",0.997,-0.858,0.394
norefined,k2,0.151,"[-1.388, 1.69]",1.539,0.196,0.845
norefined,k3,0.437,"[-0.665, 1.539]",1.102,0.791,0.431
norefined,k4,-0.428,"[-1.389, 0.534]",0.961,-0.888,0.378
norefined,k5,0.547,"[-0.65, 1.744]",1.197,0.912,0.365
refined,tt,-0.764,"[-1.035, -0.494]",0.271,-5.634,0.000
refined,c,-4.466,"[-6.014, -2.919]",1.548,-5.759,0.000
refined,s,-2.150,"[-2.87, -1.429]",0.721,-5.954,0.000
refined,k0,-0.203,"[-0.637, 0.23]",0.434,-0.935,0.353
refined,k1,0.239,"[-0.27, 0.749]",0.510,0.937,0.352
refined,k2,0.470,"[-0.391, 1.33]",0.860,1.090,0.280
refined,k3,-0.442,"[-1.064, 0.18]",0.622,-1.419,0.161
refined,k4,-0.397,"[-0.982, 0.188]",0.585,-1.354,0.180
refined,k5,-0.239,"[-0.834, 0.356]",0.595,-0.802,0.425
