stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.085,"[-1.713, -0.457]",0.628,-3.446,0.001
norefined,c,-7.030,"[-10.604, -3.455]",3.574,-3.926,0.000
norefined,s,-3.439,"[-5.418, -1.46]",1.979,-3.469,0.001
norefined,k0,-0.448,"[-1.499, 0.604]",1.052,-0.850,0.399
norefined,k1,0.487,"[-0.166, 1.14]",0.653,1.488,0.142
norefined,k2,0.653,"[0.008, 1.298]",0.645,2.022,0.047
norefined,k3,0.011,"[-0.686, 0.707]",0.696,0.030,0.976
norefined,k4,0.511,"[-0.447, 1.468]",0.958,1.064,0.291
norefined,k5,-0.117,"[-0.855, 0.622]",0.739,-0.315,0.754
refined,tt,-1.078,"[-1.491, -0.665]",0.413,-5.207,0.000
refined,c,-6.064,"[-8.316, -3.812]",2.252,-5.374,0.000
refined,s,-3.107,"[-4.349, -1.866]",1.241,-4.996,0.000
refined,k0,-0.308,"[-0.92, 0.304]",0.612,-1.004,0.319
refined,k1,-0.061,"[-0.447, 0.325]",0.386,-0.317,0.752
refined,k2,0.124,"[-0.367, 0.616]",0.491,0.505,0.615
refined,k3,-0.350,"[-0.933, 0.233]",0.583,-1.199,0.235
refined,k4,-0.234,"[-0.941, 0.472]",0.707,-0.662,0.510
refined,k5,0.013,"[-0.438, 0.464]",0.451,0.057,0.954
