stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.083,"[-1.671, -0.495]",0.588,-3.678,0.000
norefined,c,-7.029,"[-10.375, -3.683]",3.346,-4.193,0.000
norefined,s,-3.428,"[-5.241, -1.615]",1.813,-3.773,0.000
norefined,k0,-0.361,"[-1.306, 0.584]",0.945,-0.763,0.448
norefined,k1,0.491,"[-0.132, 1.113]",0.623,1.573,0.120
norefined,k2,0.642,"[0.037, 1.247]",0.605,2.117,0.038
norefined,k3,-0.030,"[-0.683, 0.623]",0.653,-0.092,0.927
norefined,k4,0.561,"[-0.4, 1.523]",0.961,1.165,0.248
norefined,k5,-0.051,"[-0.783, 0.681]",0.732,-0.139,0.890
refined,tt,-0.753,"[-0.982, -0.524]",0.229,-6.576,0.000
refined,c,-4.337,"[-5.585, -3.089]",1.248,-6.937,0.000
refined,s,-2.269,"[-2.942, -1.596]",0.673,-6.732,0.000
refined,k0,0.072,"[-0.284, 0.427]",0.356,0.401,0.689
refined,k1,-0.198,"[-0.458, 0.063]",0.260,-1.515,0.134
refined,k2,0.103,"[-0.276, 0.483]",0.379,0.543,0.589
refined,k3,-0.215,"[-0.616, 0.187]",0.401,-1.068,0.290
refined,k4,-0.125,"[-0.587, 0.337]",0.462,-0.541,0.590
refined,k5,0.277,"[-0.095, 0.649]",0.372,1.486,0.142
