stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,27.461,2.023,0.000,0,9,2467847025.414,526331540.642,76
refined,71.769,2.023,0.000,0,9,2467847025.414,231927950.212,76
