stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.752,"[-1.489, -0.014]",0.738,-1.700,0.094
norefined,c,-5.989,"[-10.235, -1.742]",4.246,-2.352,0.022
norefined,s,-3.746,"[-6.448, -1.045]",2.701,-2.313,0.024
norefined,k0,0.958,"[-0.056, 1.971]",1.014,1.575,0.120
norefined,k1,0.313,"[-0.852, 1.478]",1.165,0.448,0.656
norefined,k2,0.754,"[-0.522, 2.03]",1.276,0.985,0.328
norefined,k3,-1.521,"[-2.92, -0.122]",1.399,-1.813,0.074
norefined,k4,0.232,"[-0.468, 0.933]",0.700,0.553,0.582
norefined,k5,0.322,"[-0.468, 1.112]",0.790,0.680,0.499
refined,tt,-1.053,"[-1.695, -0.41]",0.643,-2.733,0.008
refined,c,-6.093,"[-9.531, -2.654]",3.439,-2.955,0.004
refined,s,-2.963,"[-4.634, -1.292]",1.671,-2.957,0.004
refined,k0,0.794,"[-0.036, 1.625]",0.831,1.595,0.115
refined,k1,-0.351,"[-1.043, 0.341]",0.692,-0.846,0.401
refined,k2,-0.408,"[-1.041, 0.226]",0.634,-1.073,0.287
refined,k3,0.261,"[-0.319, 0.841]",0.580,0.750,0.456
refined,k4,0.127,"[-0.402, 0.656]",0.529,0.400,0.691
refined,k5,-0.009,"[-0.517, 0.499]",0.508,-0.030,0.977
