link_type,alpha,beta,tf,k,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,id,rhoj,lane,ff_speed,length,inrix_id.1,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix,free_flow_speed,tt_sd_adj,speed_sd_length,speed_reliability,tt_avg_adj,median_inc_length,no_incidents,incident,no_bus_stops,bus_stop,no_intersections,intersection,low_inc,high_inc,reliable_tt,unreliable_tt,reliable_speed,unreliable_speed
LWRLK,0.150,4.000,0.156,1800.000,0,,1800.000,0.156,40,429473541.000,[],225,200.000,3,40,0.104,429473541.000,0.209,0.354,0.278,0.122,29.204,0.409,0.454,0.082,2.062,0.060,0.003,0.454,0.000,0.393,0.502,0.000,0.000,0.222,0.213,0.488,0.132,0.067,0.707,0.007,0.031,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.056,1800.000,0,,1800.000,0.056,35,1626613838.000,[],1231,200.000,3,35,0.032,1626613838.000,0.329,0.509,0.412,0.261,41.632,0.467,0.348,0.401,0.000,0.092,0.009,0.348,0.000,0.393,0.502,0.000,0.000,0.111,0.047,0.681,0.022,0.024,0.730,0.001,0.010,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.216,1800.000,0,,1800.000,0.216,40,1626728177.000,[],15,200.000,3,40,0.144,1626728177.000,0.182,0.361,0.293,0.540,26.098,0.351,0.368,0.273,0.000,0.241,0.058,0.368,0.000,0.319,0.439,0.000,0.000,0.222,0.331,0.435,0.166,0.080,0.733,0.011,0.035,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.132,1800.000,0,,1800.000,0.132,40,1626667843.000,[],406,200.000,3,40,0.088,1626667843.000,0.181,0.294,0.209,0.303,26.098,0.302,0.446,0.130,0.258,0.145,0.021,0.446,0.000,0.319,0.439,0.053,0.000,0.222,0.202,0.436,0.123,0.042,0.640,0.007,0.021,0,1,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.256,1800.000,0,,1800.000,0.256,35,1626747729.000,[],1327,200.000,3,35,0.149,1626747729.000,0.184,0.236,0.228,0.679,26.098,0.335,0.452,0.227,1.804,0.400,0.160,0.452,0.000,0.319,0.439,0.000,0.000,0.111,0.343,0.434,0.212,0.079,0.871,0.011,0.036,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.209,1800.000,0,,1800.000,0.209,40,1626698650.000,[],16,200.000,4,40,0.140,1626698650.000,0.207,0.294,0.209,0.487,26.098,0.325,0.479,0.130,0.258,0.231,0.054,0.479,0.000,0.319,0.439,0.026,0.000,0.111,0.321,0.436,0.210,0.072,0.640,0.009,0.034,0,1,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.223,1800.000,0,,1800.000,0.223,40,441679111.000,[],517,200.000,4,40,0.149,441679111.000,0.202,0.459,0.311,0.393,29.826,0.440,0.435,0.354,0.515,0.262,0.069,0.435,0.000,0.580,0.518,0.000,0.000,0.000,0.299,0.498,0.178,0.103,0.612,0.010,0.066,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.178,1800.000,0,,1800.000,0.178,40,441461376.000,[],1913,200.000,4,40,0.119,441461376.000,0.254,0.390,0.328,0.315,33.554,0.470,0.441,0.241,1.031,0.152,0.024,0.441,0.000,0.580,0.518,0.000,0.250,0.000,0.212,0.561,0.128,0.088,0.759,0.007,0.052,1,0,0,1,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.129,1800.000,0,,1800.000,0.129,40,441679102.000,[],1993,200.000,4,40,0.086,441679102.000,0.318,0.389,0.326,0.449,39.768,0.450,0.424,0.154,0.000,0.159,0.025,0.424,0.000,0.580,0.518,0.000,0.000,0.000,0.130,0.662,0.075,0.061,0.758,0.004,0.038,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.117,1800.000,1,2444.000,1800.000,0.117,55,,"[601215, 602215]",17,180.000,1,55,0.107,,0.349,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.364,0.320,0.000,0.000,0.111,0.117,0.915,0.000,0.000,0.000,0.055,0.030,1,0,1,0,0,1,0,1,1,0,0,1
LWRLK,0.150,4.000,0.806,2400.000,1,2466.400,2400.000,0.806,65,1626706657.000,[602215],617,200.000,3,65,0.873,1626706657.000,0.350,0.565,0.402,0.355,37.904,0.421,0.322,0.320,0.000,0.108,0.012,0.322,0.000,0.364,0.320,0.526,0.000,0.222,1.382,0.632,0.608,0.580,0.643,0.035,0.241,0,1,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.121,1800.000,0,,1800.000,0.121,45,441458238.000,[],18,200.000,3,45,0.091,441458238.000,0.208,0.438,0.324,0.515,21.748,0.261,0.248,0.070,0.773,0.184,0.034,0.248,0.000,0.575,0.521,0.000,0.000,0.000,0.250,0.364,0.085,0.037,0.666,0.006,0.040,1,0,1,0,1,0,0,1,0,1,1,0
LWRLK,0.150,4.000,0.344,2400.000,1,1096.000,2400.000,0.344,65,1626704618.000,[602345],19,200.000,4,65,0.373,1626704618.000,0.935,0.933,0.932,0.290,71.458,0.153,0.051,0.173,0.258,0.013,0.000,0.051,0.000,0.311,0.373,0.421,0.000,0.000,0.313,1.192,0.022,0.090,0.901,0.006,0.088,0,1,1,0,1,0,0,1,1,0,1,0
LWRLK,0.150,4.000,0.043,1800.000,0,,1800.000,0.043,35,,[],20,180.000,1,35,0.025,,0.349,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.000,0.000,0.111,0.043,0.581,0.000,0.000,0.000,0.020,0.011,1,0,1,0,0,1,0,1,1,0,0,1
LWRLK,0.150,4.000,0.119,1800.000,0,,1800.000,0.119,45,429471468.000,[],254,200.000,3,45,0.089,429471468.000,0.308,0.402,0.357,0.094,33.554,0.372,0.321,0.085,0.515,0.032,0.001,0.321,0.000,0.575,0.521,0.000,0.000,0.222,0.159,0.560,0.070,0.052,0.801,0.004,0.039,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.136,1800.000,0,,1800.000,0.136,45,1626735696.000,[],165,200.000,2,45,0.102,1626735696.000,0.146,0.438,0.324,0.298,28.583,0.369,0.352,0.070,0.773,0.179,0.032,0.352,0.000,0.575,0.521,0.000,0.000,0.111,0.214,0.477,0.103,0.060,0.666,0.010,0.045,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.439,1800.000,0,,1800.000,0.439,25,1626615745.000,[],234,200.000,2,25,0.183,1626615745.000,0.494,0.601,0.553,0.170,50.331,0.537,0.299,0.193,1.031,0.048,0.002,0.299,0.000,0.575,0.521,0.026,0.000,0.111,0.218,0.839,0.089,0.155,0.830,0.005,0.080,0,1,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.105,1800.000,0,,1800.000,0.105,35,170451683.000,[],21,180.000,2,35,0.061,170451683.000,0.349,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.000,0.000,0.111,0.105,0.581,0.000,0.000,0.000,0.050,0.027,1,0,1,0,0,1,0,1,1,0,0,1
LWRLK,0.150,4.000,0.146,1800.000,0,,1800.000,0.146,45,441679176.000,[],1632,200.000,5,45,0.109,441679176.000,0.232,0.368,0.275,0.354,27.962,0.299,0.335,0.121,0.258,0.122,0.015,0.335,0.000,0.575,0.521,0.000,0.000,0.111,0.234,0.466,0.107,0.052,0.674,0.007,0.048,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.118,1800.000,0,,1800.000,0.118,45,441679174.000,[],1695,200.000,4,45,0.088,441679174.000,0.229,0.294,0.216,0.238,26.719,0.346,0.494,0.125,0.258,0.105,0.011,0.494,0.000,0.575,0.521,0.000,0.000,0.111,0.198,0.444,0.133,0.048,0.663,0.005,0.038,1,0,1,0,0,1,0,1,0,1,0,1
PQULK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],26,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
LWRLK,0.150,4.000,0.059,1800.000,0,,1800.000,0.059,55,,[],22,180.000,1,55,0.054,,0.349,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.000,0.000,0.000,0.059,0.915,0.000,0.000,0.000,0.028,0.024,1,0,1,0,1,0,0,1,1,0,0,1
LWRLK,0.150,4.000,0.396,2400.000,0,,2400.000,0.396,65,1626615940.000,[],356,200.000,2,65,0.429,1626615940.000,0.965,0.958,0.941,0.122,75.807,0.263,0.086,0.088,0.515,0.010,0.000,0.086,0.000,0.575,0.521,0.105,0.000,0.222,0.340,1.262,0.040,0.179,0.887,0.006,0.187,0,1,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.209,2000.000,0,,2000.000,0.209,25,1626615706.000,[],23,180.000,1,25,0.087,1626615706.000,0.361,0.402,0.357,0.155,32.311,0.212,0.182,0.085,0.515,0.024,0.001,0.182,0.000,0.575,0.521,0.000,0.000,0.000,0.162,0.537,0.040,0.029,0.801,0.003,0.038,1,0,1,0,1,0,0,1,0,1,1,0
LWRLK,0.150,4.000,0.325,2400.000,0,,2400.000,0.325,65,1626615688.000,[],125,200.000,2,65,0.352,1626615688.000,1.000,0.986,0.983,0.164,78.914,0.191,0.060,0.078,0.515,0.011,0.000,0.060,0.000,0.575,0.521,0.000,0.000,0.000,0.268,1.313,0.022,0.106,0.900,0.005,0.154,1,0,1,0,1,0,0,1,1,0,1,0
LWRLK,0.150,4.000,0.098,1800.000,0,,1800.000,0.098,45,429471470.000,[],150,200.000,3,45,0.074,429471470.000,0.220,0.339,0.259,0.159,35.418,0.512,0.608,0.122,0.515,0.087,0.008,0.608,0.000,0.810,0.471,0.000,0.000,0.222,0.125,0.592,0.104,0.060,0.691,0.005,0.046,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.178,1800.000,0,,1800.000,0.178,45,1626751626.000,[],146,200.000,3,45,0.134,1626751626.000,0.194,0.361,0.270,0.215,27.340,0.354,0.404,0.109,0.000,0.089,0.008,0.404,0.000,0.810,0.471,0.000,0.000,0.222,0.293,0.457,0.162,0.075,0.676,0.010,0.082,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.242,1800.000,0,,1800.000,0.242,35,1626615921.000,[],231,180.000,2,35,0.141,1626615921.000,0.419,0.476,0.461,0.219,34.175,0.180,0.120,0.084,0.515,0.025,0.001,0.120,0.000,0.810,0.471,0.000,0.000,0.111,0.248,0.569,0.041,0.040,0.874,0.005,0.087,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,2.113,2400.000,1,2931.000,2400.000,2.113,65,170326096.000,[602541],27,180.000,2,65,2.289,170326096.000,0.982,0.993,0.982,0.348,73.943,0.160,0.051,0.146,0.258,0.015,0.000,0.051,0.000,0.575,0.521,0.000,0.000,0.000,1.857,1.233,0.129,0.579,0.893,0.033,1.000,1,0,1,0,1,0,0,1,1,0,1,0
LWRLK,0.150,4.000,0.281,2400.000,1,111.000,2400.000,0.281,65,1626749030.000,[601529],28,200.000,3,65,0.304,1626749030.000,0.994,0.996,0.983,0.472,75.186,0.183,0.056,0.177,0.515,0.023,0.000,0.056,0.000,0.123,0.377,0.026,0.000,0.111,0.243,1.251,0.019,0.088,0.891,0.004,0.028,0,1,1,0,0,1,1,0,1,0,1,0
LWRLK,0.150,4.000,2.113,2400.000,1,2266.000,2400.000,2.113,65,,[601541],29,180.000,2,65,2.289,,0.349,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.000,0.000,0.000,2.113,1.083,0.000,0.000,0.000,1.000,1.000,1,0,1,0,1,0,0,1,1,0,0,1
LWRLK,0.150,4.000,0.146,1800.000,0,,1800.000,0.146,25,1626721540.000,[],30,180.000,1,25,0.061,1626721540.000,0.308,0.370,0.258,0.722,37.282,0.344,0.410,0.097,0.000,0.202,0.041,0.410,0.000,0.338,0.435,0.000,0.000,0.111,0.098,0.622,0.055,0.033,0.629,0.003,0.016,1,0,1,0,0,1,0,1,0,1,0,1
PQULK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],51,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
LWRLK,0.150,4.000,0.171,1800.000,0,,1800.000,0.171,45,1626721540.000,[],2813,200.000,3,45,0.128,1626721540.000,0.308,0.370,0.258,0.722,37.282,0.344,0.410,0.097,0.000,0.202,0.041,0.410,0.000,0.338,0.435,0.000,0.000,0.111,0.207,0.618,0.116,0.070,0.629,0.006,0.033,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.185,2400.000,0,,2400.000,0.185,65,1626686499.000,[],31,200.000,4,65,0.200,1626686499.000,0.954,0.950,0.948,0.271,72.079,0.200,0.066,0.205,0.515,0.016,0.000,0.066,0.000,0.235,0.392,0.053,0.000,0.444,0.166,1.205,0.015,0.063,0.901,0.003,0.036,0,1,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,1.815,2400.000,0,,2400.000,1.815,65,,[],32,180.000,2,65,1.966,,0.349,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.482,0.000,0.000,0.000,1.815,1.083,0.000,0.000,0.000,0.859,0.482,1,0,1,0,1,0,0,1,1,0,0,1
LWRLK,0.150,4.000,0.084,2400.000,0,,2400.000,0.084,65,1626686499.000,[],33,200.000,3,65,0.091,1626686499.000,0.954,0.950,0.948,0.271,72.079,0.200,0.066,0.205,0.515,0.016,0.000,0.066,0.000,0.235,0.392,0.158,0.000,0.000,0.076,1.197,0.007,0.029,0.901,0.001,0.016,0,1,1,0,1,0,0,1,0,1,1,0
LWRLK,0.150,4.000,1.815,2400.000,0,,2400.000,1.815,65,,[],34,180.000,2,65,1.966,,0.349,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323,0.482,0.000,0.000,0.111,1.815,1.083,0.000,0.000,0.000,0.859,0.482,1,0,1,0,0,1,0,1,1,0,0,1
LWRLK,0.150,4.000,0.188,1800.000,0,,1800.000,0.188,40,449892027.000,[],35,200.000,5,40,0.125,449892027.000,0.239,0.442,0.325,0.611,26.098,0.308,0.291,0.176,0.258,0.192,0.037,0.291,0.000,0.559,0.612,0.000,0.250,0.111,0.288,0.434,0.115,0.061,0.663,0.007,0.053,1,0,0,1,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.180,1800.000,0,,1800.000,0.180,40,441679086.000,[],2006,200.000,3,40,0.120,441679086.000,0.154,0.364,0.302,0.222,24.855,0.345,0.352,0.120,0.773,0.105,0.011,0.352,0.000,0.559,0.612,0.000,0.000,0.222,0.289,0.415,0.139,0.065,0.747,0.011,0.051,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.239,1800.000,0,,1800.000,0.239,40,441679085.000,[],2087,200.000,4,40,0.159,441679085.000,0.208,0.368,0.313,0.340,32.311,0.494,0.485,0.120,0.258,0.189,0.035,0.485,0.000,0.559,0.612,0.000,0.250,0.111,0.296,0.537,0.196,0.124,0.768,0.011,0.068,1,0,0,1,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.131,1800.000,0,,1800.000,0.131,40,449892015.000,[],3012,200.000,5,40,0.087,449892015.000,0.347,0.372,0.288,0.415,32.311,0.369,0.393,0.136,1.031,0.122,0.015,0.393,0.000,0.559,0.612,0.000,0.000,0.111,0.162,0.537,0.087,0.051,0.700,0.004,0.037,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.596,1800.000,0,,1800.000,0.596,40,449892015.000,[],36,200.000,3,40,0.397,449892015.000,0.347,0.372,0.288,0.415,32.311,0.369,0.393,0.136,1.031,0.122,0.015,0.393,0.000,0.559,0.612,0.000,0.500,0.222,0.738,0.538,0.396,0.231,0.700,0.016,0.169,1,0,0,1,0,1,0,1,0,1,0,1
PQULK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],535,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
LWRLK,0.150,4.000,0.224,1800.000,0,,1800.000,0.224,40,441679107.000,[],37,200.000,2,40,0.149,441679107.000,0.299,0.389,0.326,0.184,37.282,0.543,0.512,0.154,0.000,0.097,0.010,0.512,0.000,0.580,0.518,0.000,0.250,0.000,0.240,0.621,0.168,0.128,0.758,0.007,0.066,1,0,0,1,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.205,1800.000,0,,1800.000,0.205,25,441679109.000,[],2895,200.000,1,25,0.085,441679109.000,0.364,0.411,0.327,0.182,37.904,0.537,0.505,0.230,0.773,0.081,0.006,0.505,0.000,0.580,0.518,0.000,0.000,0.000,0.135,0.630,0.093,0.072,0.719,0.003,0.037,1,0,1,0,1,0,0,1,0,1,0,1
PQULK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],4289,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
