stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,76.715,3.909,0.000,0,1,303233791.547,195891796.822,141
refined,71.954,3.909,0.000,0,1,300066652.796,198200305.703,141
