stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,70.511,2.023,0.000,0,9,4349609872.133,415369869.585,76
refined,79.794,2.023,0.000,0,9,4349609872.133,371171166.701,76
