stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.846,"[-1.594, -0.097]",0.748,-2.256,0.027
norefined,c,-5.763,"[-11.364, -0.163]",5.601,-2.054,0.044
norefined,s,-3.582,"[-6.855, -0.309]",3.273,-2.185,0.032
norefined,k0,-0.740,"[-1.892, 0.411]",1.151,-1.284,0.204
norefined,k1,0.135,"[-0.954, 1.224]",1.089,0.247,0.806
norefined,k2,1.038,"[-0.25, 2.325]",1.287,1.609,0.112
norefined,k3,-0.231,"[-1.737, 1.276]",1.507,-0.306,0.761
norefined,k4,-0.827,"[-2.09, 0.437]",1.264,-1.306,0.196
norefined,k5,-0.964,"[-2.141, 0.214]",1.177,-1.634,0.107
refined,tt,-1.184,"[-1.826, -0.542]",0.642,-3.680,0.000
refined,c,-8.437,"[-13.385, -3.489]",4.948,-3.404,0.001
refined,s,-3.719,"[-5.756, -1.682]",2.037,-3.644,0.001
refined,k0,0.220,"[-0.618, 1.059]",0.839,0.525,0.602
refined,k1,0.712,"[-0.203, 1.627]",0.915,1.553,0.125
refined,k2,-0.125,"[-0.744, 0.493]",0.618,-0.404,0.687
refined,k3,1.891,"[0.034, 3.749]",1.858,2.032,0.046
refined,k4,0.704,"[-0.384, 1.791]",1.087,1.292,0.201
refined,k5,-0.794,"[-1.676, 0.088]",0.882,-1.798,0.077
